0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
  0.0000,  1.0000,  0.0000,  1.0000,  0.0000,  1.0000,  0.0000,  1.0000
  1.7327,  0.9991,  1.9800,  0.9991,  2.0370,  1.0003,  2.0380,  1.0029
  3.4655,  0.9981,  3.9600,  0.9981,  4.0741,  1.0006,  4.0761,  1.0059
  5.1982,  0.9972,  5.9399,  0.9972,  6.1111,  1.0009,  6.1141,  1.0088
  6.9309,  0.9962,  7.9199,  0.9962,  8.1481,  1.0012,  8.1522,  1.0117
  8.6637,  0.9953,  9.8999,  0.9953, 10.1852,  1.0015, 10.1902,  1.0146
 10.3964,  0.9944, 11.8799,  0.9943, 12.2222,  1.0018, 12.2282,  1.0176
 12.1291,  0.9934, 13.8599,  0.9934, 14.2593,  1.0021, 14.2663,  1.0205
 13.8619,  0.9925, 15.8398,  0.9924, 16.2963,  1.0024, 16.3043,  1.0234
 15.5946,  0.9915, 17.8198,  0.9915, 18.3333,  1.0026, 18.3423,  1.0263
 17.3273,  0.9906, 19.7998,  0.9905, 20.3704,  1.0029, 20.3804,  1.0293
 19.0601,  0.9897, 21.7798,  0.9896, 22.4074,  1.0032, 22.4184,  1.0322
 20.7928,  0.9887, 23.7598,  0.9886, 24.4444,  1.0035, 24.4565,  1.0351
 22.5255,  0.9878, 25.7397,  0.9877, 26.4815,  1.0038, 26.4945,  1.0380
 24.2583,  0.9868, 27.7197,  0.9867, 28.5185,  1.0041, 28.5325,  1.0410
 25.9910,  0.9859, 29.6997,  0.9858, 30.5556,  1.0044, 30.5706,  1.0439
 27.7237,  0.9850, 31.6797,  0.9848, 32.5926,  1.0047, 32.6086,  1.0468
 29.4565,  0.9840, 33.6597,  0.9839, 34.6296,  1.0050, 34.6466,  1.0498
 31.1892,  0.9831, 35.6396,  0.9829, 36.6667,  1.0053, 36.6847,  1.0527
 32.9219,  0.9821, 37.6196,  0.9820, 38.7037,  1.0056, 38.7227,  1.0556
 34.6547,  0.9812, 39.5996,  0.9810, 40.7407,  1.0059, 40.7608,  1.0585
 36.3874,  0.9803, 41.5796,  0.9801, 42.7778,  1.0062, 42.7988,  1.0615
 38.1201,  0.9793, 43.5596,  0.9791, 44.8148,  1.0065, 44.8368,  1.0644
 39.8529,  0.9784, 45.5395,  0.9782, 46.8519,  1.0068, 46.8749,  1.0673
 41.5856,  0.9775, 47.5195,  0.9772, 48.8889,  1.0071, 48.9129,  1.0702
 43.3183,  0.9765, 49.4995,  0.9763, 50.9259,  1.0074, 50.9510,  1.0732
