receptor_0mA_1min: CV i vs E Scan 2,,receptor_0mA_1min: CV i vs E Scan 3,,receptor_0mA_1min: CV i vs E Scan 4,,receptor_0mA_1min: CV i vs E Scan 5,,receptor_0mA_5min: CV i vs E Scan 2,,receptor_0mA_5min: CV i vs E Scan 3,,receptor_0mA_5min: CV i vs E Scan 4,,receptor_0mA_5min: CV i vs E Scan 5,,receptor_0mA_10min: CV i vs E Scan 2,,receptor_0mA_10min: CV i vs E Scan 3,,receptor_0mA_10min: CV i vs E Scan 4,,receptor_0mA_10min: CV i vs E Scan 5,,receptor_0mA_15min: CV i vs E Scan 2,,receptor_0mA_15min: CV i vs E Scan 3,,receptor_0mA_15min: CV i vs E Scan 4,,receptor_0mA_15min: CV i vs E Scan 5,,receptor_0mA_20min: CV i vs E Scan 2 [1],,receptor_0mA_20min: CV i vs E Scan 3 [1],,receptor_0mA_20min: CV i vs E Scan 4 [1],,receptor_0mA_20min: CV i vs E Scan 5 [1],,receptor_0mA_25min: CV i vs E Scan 2,,receptor_0mA_25min: CV i vs E Scan 3,,receptor_0mA_25min: CV i vs E Scan 4,,receptor_0mA_25min: CV i vs E Scan 5,,receptor_0mA_30min: CV i vs E Scan 2,,receptor_0mA_30min: CV i vs E Scan 3,,receptor_0mA_30min: CV i vs E Scan 4,,receptor_0mA_30min: CV i vs E Scan 5
Date and time measurement:,2025-07-04 12:22:01,Date and time measurement:,2025-07-04 12:22:01,Date and time measurement:,2025-07-04 12:22:01,Date and time measurement:,2025-07-04 12:22:01,Date and time measurement:,2025-07-04 12:26:21,Date and time measurement:,2025-07-04 12:26:21,Date and time measurement:,2025-07-04 12:26:21,Date and time measurement:,2025-07-04 12:26:21,Date and time measurement:,2025-07-04 12:30:50,Date and time measurement:,2025-07-04 12:30:50,Date and time measurement:,2025-07-04 12:30:50,Date and time measurement:,2025-07-04 12:30:50,Date and time measurement:,2025-07-04 12:35:11,Date and time measurement:,2025-07-04 12:35:11,Date and time measurement:,2025-07-04 12:35:11,Date and time measurement:,2025-07-04 12:35:11,Date and time measurement:,2025-07-04 12:40:55,Date and time measurement:,2025-07-04 12:40:55,Date and time measurement:,2025-07-04 12:40:55,Date and time measurement:,2025-07-04 12:40:55,Date and time measurement:,2025-07-04 12:46:26,Date and time measurement:,2025-07-04 12:46:26,Date and time measurement:,2025-07-04 12:46:26,Date and time measurement:,2025-07-04 12:46:26,Date and time measurement:,2025-07-04 12:50:52,Date and time measurement:,2025-07-04 12:50:52,Date and time measurement:,2025-07-04 12:50:52,Date and time measurement:,2025-07-04 12:50:52,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-7.18477249145508,-1.00004291534424,-7.22530364990234,-1.00004291534424,-7.04982757568359,-1.00004291534424,-6.96495056152344,-1.00004291534424,-5.93163967132568,-1.00004291534424,-6.05466365814209,-1.00004291534424,-6.13524913787842,-1.00004291534424,-6.19771480560303,-1.00004291534424,-5.42618751525879,-1.00004291534424,-5.55254936218262,-1.00004291534424,-5.63027858734131,-1.00004291534424,-5.69798946380615,-1.00004291534424,-5.84390163421631,-1.00004291534424,-5.95118999481201,-1.00004291534424,-6.00125789642334,-1.00004291534424,-6.06467723846436,-1.00004291534424,-7.85711288452148,-1.00004291534424,-7.80561447143555,-1.00004291534424,-7.75506973266602,-1.00004291534424,-7.69308090209961,-1.00004291534424,-6.97591781616211,-1.00004291534424,-6.9740104675293,-1.00004291534424,-6.98068618774414,-1.00004291534424,-7.01930999755859,-1.00004291534424,-5.90970516204834,-1.00004291534424,-6.09185695648193,-1.00004291534424,-6.20486736297607,-1.00004291534424,-6.31930828094482
-0.950042724609375,-6.45806789398193,-0.950042724609375,-6.48477077484131,-0.950042724609375,-6.32646083831787,-0.950042724609375,-6.24825954437256,-0.950042724609375,-5.3355884552002,-0.950042724609375,-5.4438304901123,-0.950042724609375,-5.51487922668457,-0.950042724609375,-5.57209968566895,-0.950042724609375,-4.89022254943848,-0.950042724609375,-5.00275611877441,-0.950042724609375,-5.07809638977051,-0.950042724609375,-5.14199256896973,-0.950042724609375,-5.25547981262207,-0.950042724609375,-5.34226417541504,-0.950042724609375,-5.39233207702637,-0.950042724609375,-5.45098304748535,-0.950042724609375,-7.04267501831055,-0.950042724609375,-6.96256637573242,-0.950042724609375,-6.91440582275391,-0.950042724609375,-6.86337947845459,-0.950042724609375,-6.22727870941162,-0.950042724609375,-6.2244176864624,-0.950042724609375,-6.23061656951904,-0.950042724609375,-6.27067089080811,-0.950042724609375,-5.3060245513916,-0.950042724609375,-5.46242713928223,-0.950042724609375,-5.5644702911377,-0.950042724609375,-5.66890239715576
-0.900042533874512,-5.76236248016357,-0.900042533874512,-5.78906536102295,-0.900042533874512,-5.65459728240967,-0.900042533874512,-5.58497428894043,-0.900042533874512,-4.77911949157715,-0.900042533874512,-4.87496376037598,-0.900042533874512,-4.94124412536621,-0.900042533874512,-4.99131202697754,-0.900042533874512,-4.38858985900879,-0.900042533874512,-4.49015617370605,-0.900042533874512,-4.56263542175293,-0.900042533874512,-4.62224006652832,-0.900042533874512,-4.70520973205566,-0.900042533874512,-4.77673530578613,-0.900042533874512,-4.82346534729004,-0.900042533874512,-4.88163948059082,-0.900042533874512,-6.28354549407959,-0.900042533874512,-6.18817806243896,-0.900042533874512,-6.14383220672607,-0.900042533874512,-6.1023473739624,-0.900042533874512,-5.5339527130127,-0.900042533874512,-5.53633689880371,-0.900042533874512,-5.54348945617676,-0.900042533874512,-5.58354377746582,-0.900042533874512,-4.74287986755371,-0.900042533874512,-4.88259315490723,-0.900042533874512,-4.97366905212402,-0.900042533874512,-5.06712913513184
-0.850120544433594,-5.08286476135254,-0.850120544433594,-5.12530326843262,-0.850120544433594,-5.01944541931152,-0.850120544433594,-4.96222496032715,-0.850120544433594,-4.25125598907471,-0.850120544433594,-4.33851718902588,-0.850120544433594,-4.40051078796387,-0.850120544433594,-4.44581031799316,-0.850120544433594,-3.91270160675049,-0.850120544433594,-4.00759220123291,-0.850120544433594,-4.07768726348877,-0.850120544433594,-4.13347721099854,-0.850120544433594,-4.18640613555908,-0.850120544433594,-4.24839496612549,-0.850120544433594,-4.29131031036377,-0.850120544433594,-4.34757709503174,-0.850120544433594,-5.56160926818848,-0.850120544433594,-5.4576587677002,-0.850120544433594,-5.42046546936035,-0.850120544433594,-5.38851737976074,-0.850120544433594,-4.88306999206543,-0.850120544433594,-4.89117622375488,-0.850120544433594,-4.90071296691895,-0.850120544433594,-4.9388599395752,-0.850120544433594,-4.21024799346924,-0.850120544433594,-4.33660984039307,-0.850120544433594,-4.41815376281738,-0.850120544433594,-4.49921607971191
-0.80012035369873,-4.41433906555176,-0.80012035369873,-4.48395729064941,-0.80012035369873,-4.40718650817871,-0.80012035369873,-4.36235904693604,-0.80012035369873,-3.74437808990479,-0.80012035369873,-3.82591724395752,-0.80012035369873,-3.8836145401001,-0.80012035369873,-3.92557621002197,-0.80012035369873,-3.45589160919189,-0.80012035369873,-3.54744434356689,-0.80012035369873,-3.61515522003174,-0.80012035369873,-3.66760730743408,-0.80012035369873,-3.69001865386963,-0.80012035369873,-3.7467622756958,-0.80012035369873,-3.78681659698486,-0.80012035369873,-3.84022235870361,-0.80012035369873,-4.86590385437012,-0.80012035369873,-4.75480079650879,-0.80012035369873,-4.7261905670166,-0.80012035369873,-4.70330238342285,-0.80012035369873,-4.26365375518799,-0.80012035369873,-4.27605152130127,-0.80012035369873,-4.28701877593994,-0.80012035369873,-4.32182788848877,-0.80012035369873,-3.7009859085083,-0.80012035369873,-3.81733417510986,-0.80012035369873,-3.88933658599854,-0.80012035369873,-3.9599084854126
-0.750198364257813,-3.75629901885986,-0.750198364257813,-3.8540506362915,-0.750198364257813,-3.80493640899658,-0.750198364257813,-3.77203464508057,-0.750198364257813,-3.25323581695557,-0.750198364257813,-3.33000659942627,-0.750198364257813,-3.38341236114502,-0.750198364257813,-3.42108249664307,-0.750198364257813,-3.01338195800781,-0.750198364257813,-3.1035041809082,-0.750198364257813,-3.16788196563721,-0.750198364257813,-3.21651935577393,-0.750198364257813,-3.21127414703369,-0.750198364257813,-3.26372623443604,-0.750198364257813,-3.30139636993408,-0.750198364257813,-3.35098743438721,-0.750198364257813,-4.18688297271729,-0.750198364257813,-4.0676736831665,-0.750198364257813,-4.04526233673096,-0.750198364257813,-4.03048038482666,-0.750198364257813,-3.66379261016846,-0.750198364257813,-3.68143558502197,-0.750198364257813,-3.69287967681885,-0.750198364257813,-3.72292041778564,-0.750198364257813,-3.20936679840088,-0.750198364257813,-3.31617832183838,-0.750198364257813,-3.37912082672119,-0.750198364257813,-3.43920230865479
-0.700198173522949,-3.1187629699707,-0.700198173522949,-3.23273181915283,-0.700198173522949,-3.20841312408447,-0.700198173522949,-3.18552494049072,-0.700198173522949,-2.77830123901367,-0.700198173522949,-2.84839630126953,-0.700198173522949,-2.89608001708984,-0.700198173522949,-2.92850494384766,-0.700198173522949,-2.58613586425781,-0.700198173522949,-2.67339706420898,-0.700198173522949,-2.73395538330078,-0.700198173522949,-2.77639389038086,-0.700198173522949,-2.75016784667969,-0.700198173522949,-2.7978515625,-0.700198173522949,-2.83266067504883,-0.700198173522949,-2.87700653076172,-0.700198173522949,-3.52503299713135,-0.700198173522949,-3.39819431304932,-0.700198173522949,-3.37959766387939,-0.700198173522949,-3.37053775787354,-0.700198173522949,-3.08967590332031,-0.700198173522949,-3.10731887817383,-0.700198173522949,-3.1178092956543,-0.700198173522949,-3.14165592193604,-0.700198173522949,-2.73586273193359,-0.700198173522949,-2.83170700073242,-0.700198173522949,-2.88558959960938,-0.700198173522949,-2.93375015258789
-0.650197982788086,-2.50698089599609,-0.650197982788086,-2.62475967407227,-0.650197982788086,-2.62094497680664,-0.650197982788086,-2.60807037353516,-0.650197982788086,-2.31767654418945,-0.650197982788086,-2.38204956054688,-0.650197982788086,-2.42258071899414,-0.650197982788086,-2.45023727416992,-0.650197982788086,-2.17700958251953,-0.650197982788086,-2.25902557373047,-0.650197982788086,-2.31386184692383,-0.650197982788086,-2.34914779663086,-0.650197982788086,-2.3100471496582,-0.650197982788086,-2.35200881958008,-0.650197982788086,-2.38157272338867,-0.650197982788086,-2.41924285888672,-0.650197982788086,-2.88797378540039,-0.650197982788086,-2.7520751953125,-0.650197982788086,-2.73586273193359,-0.650197982788086,-2.72871017456055,-0.650197982788086,-2.54322052001953,-0.650197982788086,-2.55752563476563,-0.650197982788086,-2.56467819213867,-0.650197982788086,-2.58136749267578,-0.650197982788086,-2.28429794311523,-0.650197982788086,-2.36679077148438,-0.650197982788086,-2.41065979003906,-0.650197982788086,-2.44594573974609
-0.600275993347168,-1.92333221435547,-0.600275993347168,-2.03920364379883,-0.600275993347168,-2.05160140991211,-0.600275993347168,-2.04730987548828,-0.600275993347168,-1.88041687011719,-0.600275993347168,-1.93477630615234,-0.600275993347168,-1.96672439575195,-0.600275993347168,-1.9886589050293,-0.600275993347168,-1.78885936737061,-0.600275993347168,-1.86276912689209,-0.600275993347168,-1.90998077392578,-0.600275993347168,-1.93716049194336,-0.600275993347168,-1.89376831054688,-0.600275993347168,-1.92714691162109,-0.600275993347168,-1.95051193237305,-0.600275993347168,-1.97959899902344,-0.600275993347168,-2.28096008300781,-0.600275993347168,-2.13457107543945,-0.600275993347168,-2.11788177490234,-0.600275993347168,-2.1107292175293,-0.600275993347168,-2.02585220336914,-0.600275993347168,-2.03348159790039,-0.600275993347168,-2.0353889465332,-0.600275993347168,-2.04397201538086,-0.600275993347168,-1.85657024383545,-0.600275993347168,-1.92428588867188,-0.600275993347168,-1.95671081542969,-0.600275993347168,-1.97912216186523
-0.550275802612305,-1.36924266815186,-0.550275802612305,-1.48034572601318,-0.550275802612305,-1.50466442108154,-0.550275802612305,-1.50752544403076,-0.550275802612305,-1.4674711227417,-0.550275802612305,-1.50990962982178,-0.550275802612305,-1.53232097625732,-0.550275802612305,-1.54662609100342,-0.550275802612305,-1.42312526702881,-0.550275802612305,-1.48702144622803,-0.550275802612305,-1.52516841888428,-0.550275802612305,-1.5442419052124,-0.550275802612305,-1.50228023529053,-0.550275802612305,-1.52564525604248,-0.550275802612305,-1.54138088226318,-0.550275802612305,-1.55997753143311,-0.550275802612305,-1.70445919036865,-0.550275802612305,-1.54614925384521,-0.550275802612305,-1.52564525604248,-0.550275802612305,-1.51753902435303,-0.550275802612305,-1.53518199920654,-0.550275802612305,-1.53375148773193,-0.550275802612305,-1.52945995330811,-0.550275802612305,-1.5289831161499,-0.550275802612305,-1.45411968231201,-0.550275802612305,-1.50561809539795,-0.550275802612305,-1.52612209320068,-0.550275802612305,-1.53470516204834
