receptor_0_1mA_2min: CV i vs E Scan 2,,receptor_0_1mA_2min: CV i vs E Scan 3,,receptor_0_1mA_2min: CV i vs E Scan 4,,receptor_0_1mA_2min: CV i vs E Scan 5,,receptor_0_1mA_6min: CV i vs E Scan 2,,receptor_0_1mA_6min: CV i vs E Scan 3,,receptor_0_1mA_6min: CV i vs E Scan 4,,receptor_0_1mA_6min: CV i vs E Scan 5,,receptor_0_1mA_11min: CV i vs E Scan 2,,receptor_0_1mA_11min: CV i vs E Scan 3,,receptor_0_1mA_11min: CV i vs E Scan 4,,receptor_0_1mA_11min: CV i vs E Scan 5,,receptor_0_1mA_15min: CV i vs E Scan 2,,receptor_0_1mA_15min: CV i vs E Scan 3,,receptor_0_1mA_15min: CV i vs E Scan 4,,receptor_0_1mA_15min: CV i vs E Scan 5,,receptor_0_1mA_20min: CV i vs E Scan 2,,receptor_0_1mA_20min: CV i vs E Scan 3,,receptor_0_1mA_20min: CV i vs E Scan 4,,receptor_0_1mA_20min: CV i vs E Scan 5,,receptor_0_1mA_25min: CV i vs E Scan 2,,receptor_0_1mA_25min: CV i vs E Scan 3,,receptor_0_1mA_25min: CV i vs E Scan 4,,receptor_0_1mA_25min: CV i vs E Scan 5,,receptor_0_1mA_30min: CV i vs E Scan 2,,receptor_0_1mA_30min: CV i vs E Scan 3,,receptor_0_1mA_30min: CV i vs E Scan 4,,receptor_0_1mA_30min: CV i vs E Scan 5,,receptor_0mA_3min: CV i vs E Scan 2,,receptor_0mA_3min: CV i vs E Scan 3,,receptor_0mA_3min: CV i vs E Scan 4,,receptor_0mA_3min: CV i vs E Scan 5
Date and time measurement:,2025-07-01 15:58:16,Date and time measurement:,2025-07-01 15:58:16,Date and time measurement:,2025-07-01 15:58:16,Date and time measurement:,2025-07-01 15:58:16,Date and time measurement:,2025-07-01 16:03:10,Date and time measurement:,2025-07-01 16:03:10,Date and time measurement:,2025-07-01 16:03:10,Date and time measurement:,2025-07-01 16:03:10,Date and time measurement:,2025-07-01 16:07:43,Date and time measurement:,2025-07-01 16:07:43,Date and time measurement:,2025-07-01 16:07:43,Date and time measurement:,2025-07-01 16:07:43,Date and time measurement:,2025-07-01 16:12:06,Date and time measurement:,2025-07-01 16:12:06,Date and time measurement:,2025-07-01 16:12:06,Date and time measurement:,2025-07-01 16:12:06,Date and time measurement:,2025-07-01 16:16:19,Date and time measurement:,2025-07-01 16:16:19,Date and time measurement:,2025-07-01 16:16:19,Date and time measurement:,2025-07-01 16:16:19,Date and time measurement:,2025-07-01 16:20:46,Date and time measurement:,2025-07-01 16:20:46,Date and time measurement:,2025-07-01 16:20:46,Date and time measurement:,2025-07-01 16:20:46,Date and time measurement:,2025-07-01 16:25:17,Date and time measurement:,2025-07-01 16:25:17,Date and time measurement:,2025-07-01 16:25:17,Date and time measurement:,2025-07-01 16:25:17,Date and time measurement:,2025-07-01 15:53:00,Date and time measurement:,2025-07-01 15:53:00,Date and time measurement:,2025-07-01 15:53:00,Date and time measurement:,2025-07-01 15:53:00,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-8.3353853225708,-1.00004291534424,-8.34396839141846,-1.00004291534424,-8.34396839141846,-1.00004291534424,-8.3353853225708,-1.00004291534424,-8.92284870147705,-1.00004291534424,-8.85942935943604,-1.00004291534424,-8.82080554962158,-1.00004291534424,-8.81031513214111,-1.00004291534424,-12.8915786743164,-1.00004291534424,-12.4152183532715,-1.00004291534424,-12.1891975402832,-1.00004291534424,-11.9817733764648,-1.00004291534424,-13.99498462677,-1.00004291534424,-13.4852457046509,-1.00004291534424,-13.2329988479614,-1.00004291534424,-13.0804061889648,-1.00004291534424,-11.3676023483276,-1.00004291534424,-10.8540487289429,-1.00004291534424,-10.6327962875366,-1.00004291534424,-10.5259799957275,-1.00004291534424,-9.03156757354736,-1.00004291534424,-8.67012500762939,-1.00004291534424,-8.46079349517822,-1.00004291534424,-8.34206104278564,-1.00004291534424,-9.98906135559082,-1.00004291534424,-9.68245506286621,-1.00004291534424,-9.56086158752441,-1.00004291534424,-9.5127010345459,-1.00004291534424,-8.68824481964111,-1.00004291534424,-8.66058826446533,-1.00004291534424,-8.55425357818604,-1.00004291534424,-8.49131107330322
-0.950042724609375,-7.3869514465332,-0.950042724609375,-7.39648818969727,-0.950042724609375,-7.4012565612793,-0.950042724609375,-7.39934921264648,-0.950042724609375,-7.86188125610352,-0.950042724609375,-7.81658172607422,-0.950042724609375,-7.78892517089844,-0.950042724609375,-7.77843475341797,-0.950042724609375,-11.2374258041382,-0.950042724609375,-10.8359289169312,-0.950042724609375,-10.6394720077515,-0.950042724609375,-10.4558849334717,-0.950042724609375,-12.0213508605957,-0.950042724609375,-11.5902853012085,-0.950042724609375,-11.3652181625366,-0.950042724609375,-11.2121534347534,-0.950042724609375,-9.80547904968262,-0.950042724609375,-9.39969062805176,-0.950042724609375,-9.21514987945557,-0.950042724609375,-9.11215305328369,-0.950042724609375,-7.80323028564453,-0.950042724609375,-7.53334045410156,-0.950042724609375,-7.3716926574707,-0.950042724609375,-7.27870941162109,-0.950042724609375,-8.63197803497314,-0.950042724609375,-8.3959436416626,-0.950042724609375,-8.30009937286377,-0.950042724609375,-8.26004505157471,-0.950042724609375,-7.67257690429688,-0.950042724609375,-7.67305374145508,-0.950042724609375,-7.58769989013672,-0.950042724609375,-7.5390625
-0.900042533874512,-6.54962062835693,-0.900042533874512,-6.56249523162842,-0.900042533874512,-6.56869411468506,-0.900042533874512,-6.57298564910889,-0.900042533874512,-6.93586349487305,-0.900042533874512,-6.90486907958984,-0.900042533874512,-6.88579559326172,-0.900042533874512,-6.87673568725586,-0.900042533874512,-9.78354454040527,-0.900042533874512,-9.44880485534668,-0.900042533874512,-9.28047657012939,-0.900042533874512,-9.12121295928955,-0.900042533874512,-10.3047275543213,-0.900042533874512,-9.94137763977051,-0.900042533874512,-9.74492073059082,-0.900042533874512,-9.59424018859863,-0.900042533874512,-8.44458103179932,-0.900042533874512,-8.12843799591064,-0.900042533874512,-7.97536849975586,-0.900042533874512,-7.87761688232422,-0.900042533874512,-6.74989223480225,-0.900042533874512,-6.54819011688232,-0.900042533874512,-6.42707347869873,-0.900042533874512,-6.35221004486084,-0.900042533874512,-7.44846343994141,-0.900042533874512,-7.26964950561523,-0.900042533874512,-7.19717025756836,-0.900042533874512,-7.16426849365234,-0.900042533874512,-6.77707195281982,-0.900042533874512,-6.79709911346436,-0.900042533874512,-6.7279577255249,-0.900042533874512,-6.68599605560303
-0.850120544433594,-5.78858852386475,-0.850120544433594,-5.80050945281982,-0.850120544433594,-5.80670833587646,-0.850120544433594,-5.81433773040771,-0.850120544433594,-6.09471797943115,-0.850120544433594,-6.07469081878662,-0.850120544433594,-6.06086254119873,-0.850120544433594,-6.04846477508545,-0.850120544433594,-8.43933582305908,-0.850120544433594,-8.16038608551025,-0.850120544433594,-8.0125617980957,-0.850120544433594,-7.8742790222168,-0.850120544433594,-8.73735904693604,-0.850120544433594,-8.42503070831299,-0.850120544433594,-8.25098514556885,-0.850120544433594,-8.10220718383789,-0.850120544433594,-7.19907760620117,-0.850120544433594,-6.95350646972656,-0.850120544433594,-6.82523250579834,-0.850120544433594,-6.7274808883667,-0.850120544433594,-5.80670833587646,-0.850120544433594,-5.65793514251709,-0.850120544433594,-5.56876182556152,-0.850120544433594,-5.50724983215332,-0.850120544433594,-6.3607931137085,-0.850120544433594,-6.22870922088623,-0.850120544433594,-6.17339611053467,-0.850120544433594,-6.14526271820068,-0.850120544433594,-5.97407817840576,-0.850120544433594,-5.99935054779053,-0.850120544433594,-5.93640804290771,-0.850120544433594,-5.89301586151123
-0.80012035369873,-5.08238792419434,-0.80012035369873,-5.08906364440918,-0.80012035369873,-5.09335517883301,-0.80012035369873,-5.10098457336426,-0.80012035369873,-5.30745506286621,-0.80012035369873,-5.29458045959473,-0.80012035369873,-5.28313636779785,-0.80012035369873,-5.26501655578613,-0.80012035369873,-7.17189788818359,-0.80012035369873,-6.93300247192383,-0.80012035369873,-6.79852962493896,-0.80012035369873,-6.67502880096436,-0.80012035369873,-7.27823257446289,-0.80012035369873,-7.00023651123047,-0.80012035369873,-6.84335231781006,-0.80012035369873,-6.69410228729248,-0.80012035369873,-6.03845119476318,-0.80012035369873,-5.84485530853271,-0.80012035369873,-5.73327541351318,-0.80012035369873,-5.63170909881592,-0.80012035369873,-4.94267463684082,-0.80012035369873,-4.83490943908691,-0.80012035369873,-4.76958274841309,-0.80012035369873,-4.71617698669434,-0.80012035369873,-5.34274101257324,-0.80012035369873,-5.24355888366699,-0.80012035369873,-5.20064353942871,-0.80012035369873,-5.17298698425293,-0.80012035369873,-5.23402214050293,-0.80012035369873,-5.25261878967285,-0.80012035369873,-5.19015312194824,-0.80012035369873,-5.14723777770996
-0.750198364257813,-4.41910743713379,-0.750198364257813,-4.41529273986816,-0.750198364257813,-4.41290855407715,-0.750198364257813,-4.41863059997559,-0.750198364257813,-4.56025123596191,-0.750198364257813,-4.54785346984863,-0.750198364257813,-4.53450202941895,-0.750198364257813,-4.50827598571777,-0.750198364257813,-5.95977306365967,-0.750198364257813,-5.74471950531006,-0.750198364257813,-5.61501502990723,-0.750198364257813,-5.50248146057129,-0.750198364257813,-5.89587688446045,-0.750198364257813,-5.63647747039795,-0.750198364257813,-5.49246788024902,-0.750198364257813,-5.34083366394043,-0.750198364257813,-4.9388599395752,-0.750198364257813,-4.78293418884277,-0.750198364257813,-4.68232154846191,-0.750198364257813,-4.57551002502441,-0.750198364257813,-4.13586139678955,-0.750198364257813,-4.05956745147705,-0.750198364257813,-4.01188373565674,-0.750198364257813,-3.96467685699463,-0.750198364257813,-4.38000679016113,-0.750198364257813,-4.30084705352783,-0.750198364257813,-4.2650842666626,-0.750198364257813,-4.2350435256958,-0.750198364257813,-4.53545570373535,-0.750198364257813,-4.54165458679199,-0.750198364257813,-4.47728157043457,-0.750198364257813,-4.43007469177246
-0.700198173522949,-3.79063129425049,-0.700198173522949,-3.77203464508057,-0.700198173522949,-3.75916004180908,-0.700198173522949,-3.75916004180908,-0.700198173522949,-3.84403705596924,-0.700198173522949,-3.82400989532471,-0.700198173522949,-3.80589008331299,-0.700198173522949,-3.76821994781494,-0.700198173522949,-4.7872257232666,-0.700198173522949,-4.57741737365723,-0.700198173522949,-4.44390296936035,-0.700198173522949,-4.3413782119751,-0.700198173522949,-4.56645011901855,-0.700198173522949,-4.3118143081665,-0.700198173522949,-4.17591571807861,-0.700198173522949,-4.01998996734619,-0.700198173522949,-3.8840913772583,-0.700198173522949,-3.75439167022705,-0.700198173522949,-3.65854740142822,-0.700198173522949,-3.54601383209229,-0.700198173522949,-3.37578296661377,-0.700198173522949,-3.32094669342041,-0.700198173522949,-3.28518390655518,-0.700198173522949,-3.24179172515869,-0.700198173522949,-3.45970630645752,-0.700198173522949,-3.39104175567627,-0.700198173522949,-3.35623264312744,-0.700198173522949,-3.32333087921143,-0.700198173522949,-3.86597156524658,-0.700198173522949,-3.85929584503174,-0.700198173522949,-3.79063129425049,-0.700198173522949,-3.73579502105713
-0.650197982788086,-3.19124698638916,-0.650197982788086,-3.15023899078369,-0.650197982788086,-3.12400817871094,-0.650197982788086,-3.11399459838867,-0.650197982788086,-3.14928531646729,-0.650197982788086,-3.11304092407227,-0.650197982788086,-3.08538436889648,-0.650197982788086,-3.03483963012695,-0.650197982788086,-3.62993717193604,-0.650197982788086,-3.40916156768799,-0.650197982788086,-3.26992511749268,-0.650197982788086,-3.17646503448486,-0.650197982788086,-3.26563358306885,-0.650197982788086,-3.00765991210938,-0.650197982788086,-2.8741455078125,-0.650197982788086,-2.71249771118164,-0.650197982788086,-2.85364151000977,-0.650197982788086,-2.73967742919922,-0.650197982788086,-2.6447868347168,-0.650197982788086,-2.52748489379883,-0.650197982788086,-2.64860153198242,-0.650197982788086,-2.60807037353516,-0.650197982788086,-2.57993698120117,-0.650197982788086,-2.53702163696289,-0.650197982788086,-2.56753921508789,-0.650197982788086,-2.50030517578125,-0.650197982788086,-2.46120452880859,-0.650197982788086,-2.42353439331055,-0.650197982788086,-3.21842670440674,-0.650197982788086,-3.19839954376221,-0.650197982788086,-3.12162399291992,-0.650197982788086,-3.05438995361328
-0.600275993347168,-2.60950088500977,-0.600275993347168,-2.53606796264648,-0.600275993347168,-2.49124526977539,-0.600275993347168,-2.46740341186523,-0.600275993347168,-2.45882034301758,-0.600275993347168,-2.39778518676758,-0.600275993347168,-2.35820770263672,-0.600275993347168,-2.2943115234375,-0.600275993347168,-2.47503280639648,-0.600275993347168,-2.23947525024414,-0.600275993347168,-2.09880828857422,-0.600275993347168,-2.01631546020508,-0.600275993347168,-1.97959899902344,-0.600275993347168,-1.72114849090576,-0.600275993347168,-1.5900182723999,-0.600275993347168,-1.42789363861084,-0.600275993347168,-1.83082103729248,-0.600275993347168,-1.7273473739624,-0.600275993347168,-1.63388729095459,-0.600275993347168,-1.51420116424561,-0.600275993347168,-1.93716049194336,-0.600275993347168,-1.90473556518555,-0.600275993347168,-1.88137054443359,-0.600275993347168,-1.83701992034912,-0.600275993347168,-1.68443202972412,-0.600275993347168,-1.61433696746826,-0.600275993347168,-1.56951427459717,-0.600275993347168,-1.52516841888428,-0.600275993347168,-2.58279800415039,-0.600275993347168,-2.54655838012695,-0.600275993347168,-2.45834350585938,-0.600275993347168,-2.38920211791992
-0.550275802612305,-2.02585220336914,-0.550275802612305,-1.91427230834961,-0.550275802612305,-1.85657024383545,-0.550275802612305,-1.82128429412842,-0.550275802612305,-1.76692485809326,-0.550275802612305,-1.68729305267334,-0.550275802612305,-1.63770198822021,-0.550275802612305,-1.56093120574951,-0.550275802612305,-1.32298946380615,-0.550275802612305,-1.09029293060303,-0.550275802612305,-0.956778526306152,-0.550275802612305,-0.883822441101074,-0.550275802612305,-0.72598934173584,-0.550275802612305,-0.482320785522461,-0.550275802612305,-0.355005264282227,-0.550275802612305,-0.197172164916992,-0.550275802612305,-0.819926261901855,-0.550275802612305,-0.726943016052246,-0.550275802612305,-0.637297630310059,-0.550275802612305,-0.516653060913086,-0.550275802612305,-1.23286724090576,-0.550275802612305,-1.20425701141357,-0.550275802612305,-1.18470668792725,-0.550275802612305,-1.13893032073975,-0.550275802612305,-0.810389518737793,-0.550275802612305,-0.735049247741699,-0.550275802612305,-0.684981346130371,-0.550275802612305,-0.63443660736084,-0.550275802612305,-1.95337295532227,-0.550275802612305,-1.90616607666016,-0.550275802612305,-1.8184232711792,-0.550275802612305,-1.74737453460693
-0.500275611877441,-1.4374303817749,-0.500275611877441,-1.30916118621826,-0.500275611877441,-1.23715877532959,-0.500275611877441,-1.18375301361084,-0.500275611877441,-1.08361721038818,-0.500275611877441,-0.972990989685059,-0.500275611877441,-0.90766429901123,-0.500275611877441,-0.815634727478027,-0.500275611877441,-0.192403793334961,-0.500275611877441,0.0183582305908203,-0.500275611877441,0.137567520141602,-0.500275611877441,0.202417373657227,-0.500275611877441,0.481367111206055,-0.500275611877441,0.695948600769043,-0.500275611877441,0.816588401794434,-0.500275611877441,0.967745780944824,-0.500275611877441,0.169992446899414,-0.500275611877441,0.249147415161133,-0.500275611877441,0.336408615112305,-0.500275611877441,0.45466423034668,-0.500275611877441,-0.527620315551758,-0.500275611877441,-0.502347946166992,-0.500275611877441,-0.486135482788086,-0.500275611877441,-0.439882278442383,-0.500275611877441,0.0584125518798828,-0.500275611877441,0.13422966003418,-0.500275611877441,0.188112258911133,-0.500275611877441,0.244855880737305,-0.500275611877441,-1.34110927581787,-0.500275611877441,-1.28674983978271,-0.500275611877441,-1.19567394256592,-0.500275611877441,-1.12462520599365
-0.450353622436523,-0.853781700134277,-0.450353622436523,-0.68784236907959,-0.450353622436523,-0.602006912231445,-0.450353622436523,-0.536680221557617,-0.450353622436523,-0.384092330932617,-0.450353622436523,-0.26392936706543,-0.450353622436523,-0.187158584594727,-0.450353622436523,-0.0827312469482422,-0.450353622436523,0.898604393005371,-0.450353622436523,1.07884883880615,-0.450353622436523,1.18232250213623,-0.450353622436523,1.2385892868042,-0.450353622436523,1.62530422210693,-0.450353622436523,1.80984020233154,-0.450353622436523,1.91999435424805,-0.450353622436523,2.06304550170898,-0.450353622436523,1.12796306610107,-0.450353622436523,1.1923360824585,-0.450353622436523,1.27673625946045,-0.450353622436523,1.390700340271,-0.450353622436523,0.174760818481445,-0.450353622436523,0.19526481628418,-0.450353622436523,0.207662582397461,-0.450353622436523,0.252962112426758,-0.450353622436523,0.911002159118652,-0.450353622436523,0.98538875579834,-0.450353622436523,1.04117870330811,-0.450353622436523,1.10221385955811,-0.450353622436523,-0.745062828063965,-0.450353622436523,-0.682120323181152,-0.450353622436523,-0.591516494750977,-0.450353622436523,-0.524282455444336
-0.40035343170166,-0.252962112426758,-0.40035343170166,-0.0817775726318359,-0.40035343170166,0.0112056732177734,-0.40035343170166,0.0865459442138672,-0.40035343170166,0.296831130981445,-0.40035343170166,0.423192977905273,-0.40035343170166,0.511407852172852,-0.40035343170166,0.629668235778809,-0.40035343170166,1.94145202636719,-0.40035343170166,2.08498001098633,-0.40035343170166,2.17033386230469,-0.40035343170166,2.2175407409668,-0.40035343170166,2.69580841064453,-0.40035343170166,2.85078048706055,-0.40035343170166,2.94900894165039,-0.40035343170166,3.08443069458008,-0.40035343170166,2.03920364379883,-0.40035343170166,2.08831787109375,-0.40035343170166,2.1722412109375,-0.40035343170166,2.28096008300781,-0.40035343170166,0.866179466247559,-0.40035343170166,0.880961418151855,-0.40035343170166,0.888590812683105,-0.40035343170166,0.932936668395996,-0.40035343170166,1.73688411712646,-0.40035343170166,1.80554866790771,-0.40035343170166,1.8634147644043,-0.40035343170166,1.92688274383545,-0.40035343170166,-0.168085098266602,-0.40035343170166,-0.0994205474853516,-0.40035343170166,-0.00882148742675781,-0.40035343170166,0.0541210174560547
-0.350353240966797,0.328779220581055,-0.350353240966797,0.504255294799805,-0.350353240966797,0.606420040130615,-0.350353240966797,0.691440582275391,-0.350353240966797,0.960759162902832,-0.350353240966797,1.09031629562378,-0.350353240966797,1.18830680847168,-0.350353240966797,1.3191990852356,-0.350353240966797,2.92247486114502,-0.350353240966797,3.02880954742432,-0.350353240966797,3.10028743743896,-0.350353240966797,3.14549255371094,-0.350353240966797,3.68954181671143,-0.350353240966797,3.82448673248291,-0.350353240966797,3.9141321182251,-0.350353240966797,4.04573917388916,-0.350353240966797,2.89624881744385,-0.350353240966797,2.93291759490967,-0.350353240966797,3.01841449737549,-0.350353240966797,3.12236499786377,-0.350353240966797,1.54297924041748,-0.350353240966797,1.55094242095947,-0.350353240966797,1.55222988128662,-0.350353240966797,1.59528875350952,-0.350353240966797,2.52760410308838,-0.350353240966797,2.58911609649658,-0.350353240966797,2.64328575134277,-0.350353240966797,2.70937538146973,-0.350353240966797,0.39362907409668,-0.350353240966797,0.467538833618164,-0.350353240966797,0.558449745178223,-0.350353240966797,0.618388652801514
