receptor_0_1mA_3min: CV i vs E Scan 2,,receptor_0_1mA_3min: CV i vs E Scan 3,,receptor_0_1mA_3min: CV i vs E Scan 4,,receptor_0_1mA_3min: CV i vs E Scan 5,,receptor_0_1mA_5min: CV i vs E Scan 2 [1],,receptor_0_1mA_5min: CV i vs E Scan 3 [1],,receptor_0_1mA_5min: CV i vs E Scan 4 [1],,receptor_0_1mA_5min: CV i vs E Scan 5 [1],,receptor_0_1mA_10min: CV i vs E Scan 2,,receptor_0_1mA_10min: CV i vs E Scan 3,,receptor_0_1mA_10min: CV i vs E Scan 4,,receptor_0_1mA_10min: CV i vs E Scan 5,,receptor_0_1mA_15min: CV i vs E Scan 2,,receptor_0_1mA_15min: CV i vs E Scan 3,,receptor_0_1mA_15min: CV i vs E Scan 4,,receptor_0_1mA_15min: CV i vs E Scan 5,,receptor_0_1mA_20min: CV i vs E Scan 2,,receptor_0_1mA_20min: CV i vs E Scan 3,,receptor_0_1mA_20min: CV i vs E Scan 4,,receptor_0_1mA_20min: CV i vs E Scan 5,,receptor_0_1mA_25min: CV i vs E Scan 2,,receptor_0_1mA_25min: CV i vs E Scan 3,,receptor_0_1mA_25min: CV i vs E Scan 4,,receptor_0_1mA_25min: CV i vs E Scan 5,,receptor_0_1mA_30min: CV i vs E Scan 2,,receptor_0_1mA_30min: CV i vs E Scan 3,,receptor_0_1mA_30min: CV i vs E Scan 4,,receptor_0_1mA_30min: CV i vs E Scan 5,,receptor_0mA_3min: CV i vs E Scan 5,,receptor_0mA_3min: CV i vs E Scan 2 [2],,receptor_0mA_3min: CV i vs E Scan 3 [2],,receptor_0mA_3min: CV i vs E Scan 4 [2]
Date and time measurement:,2025-07-04 10:03:09,Date and time measurement:,2025-07-04 10:03:09,Date and time measurement:,2025-07-04 10:03:09,Date and time measurement:,2025-07-04 10:03:09,Date and time measurement:,2025-07-04 10:07:23,Date and time measurement:,2025-07-04 10:07:23,Date and time measurement:,2025-07-04 10:07:23,Date and time measurement:,2025-07-04 10:07:23,Date and time measurement:,2025-07-04 10:12:03,Date and time measurement:,2025-07-04 10:12:03,Date and time measurement:,2025-07-04 10:12:03,Date and time measurement:,2025-07-04 10:12:03,Date and time measurement:,2025-07-04 10:16:24,Date and time measurement:,2025-07-04 10:16:24,Date and time measurement:,2025-07-04 10:16:24,Date and time measurement:,2025-07-04 10:16:24,Date and time measurement:,2025-07-04 10:21:24,Date and time measurement:,2025-07-04 10:21:24,Date and time measurement:,2025-07-04 10:21:24,Date and time measurement:,2025-07-04 10:21:24,Date and time measurement:,2025-07-04 10:27:24,Date and time measurement:,2025-07-04 10:27:24,Date and time measurement:,2025-07-04 10:27:24,Date and time measurement:,2025-07-04 10:27:24,Date and time measurement:,2025-07-04 10:31:36,Date and time measurement:,2025-07-04 10:31:36,Date and time measurement:,2025-07-04 10:31:36,Date and time measurement:,2025-07-04 10:31:36,Date and time measurement:,2025-07-04 09:58:38,Date and time measurement:,2025-07-04 09:58:38,Date and time measurement:,2025-07-04 09:58:38,Date and time measurement:,2025-07-04 09:58:38,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-5.82053661346436,-1.00004291534424,-6.07993602752686,-1.00004291534424,-6.27210140228271,-1.00004291534424,-6.3922643661499,-1.00004291534424,-7.5233268737793,-1.00004291534424,-7.23865509033203,-1.00004291534424,-7.15044021606445,-1.00004291534424,-7.10943222045898,-1.00004291534424,-9.38538551330566,-1.00004291534424,-9.09307956695557,-1.00004291534424,-8.99771213531494,-1.00004291534424,-8.97434711456299,-1.00004291534424,-8.80268573760986,-1.00004291534424,-8.55759143829346,-1.00004291534424,-8.49750995635986,-1.00004291534424,-8.46317768096924,-1.00004291534424,-13.2811594009399,-1.00004291534424,-12.5015258789063,-1.00004291534424,-12.1124267578125,-1.00004291534424,-11.9216918945313,-1.00004291534424,-28.8518562316895,-1.00004291534424,-24.3113975524902,-1.00004291534424,-21.0932121276855,-1.00004291534424,-19.1238632202148,-1.00004291534424,-9.92611885070801,-1.00004291534424,-9.08926486968994,-1.00004291534424,-8.549485206604,-1.00004291534424,-8.25766086578369,-1.00004291534424,-7.06079483032227,-1.00004291534424,-6.56201839447021,-1.00004291534424,-6.72318935394287,-1.00004291534424,-6.91011428833008
-0.950042724609375,-5.22067070007324,-0.950042724609375,-5.47005653381348,-0.950042724609375,-5.6445837020874,-0.950042724609375,-5.75568675994873,-0.950042724609375,-6.63163661956787,-0.950042724609375,-6.42611980438232,-0.950042724609375,-6.37128353118896,-0.950042724609375,-6.35125637054443,-0.950042724609375,-8.31583499908447,-0.950042724609375,-8.03878784179688,-0.950042724609375,-7.95629501342773,-0.950042724609375,-7.94294357299805,-0.950042724609375,-7.71835327148438,-0.950042724609375,-7.52904891967773,-0.950042724609375,-7.4937629699707,-0.950042724609375,-7.47659683227539,-0.950042724609375,-11.7609930038452,-0.950042724609375,-11.0795927047729,-0.950042724609375,-10.7162427902222,-0.950042724609375,-10.5183506011963,-0.950042724609375,-22.1718215942383,-0.950042724609375,-18.6103096008301,-0.950042724609375,-16.4077911376953,-0.950042724609375,-15.1017284393311,-0.950042724609375,-8.6257791519165,-0.950042724609375,-7.99253463745117,-0.950042724609375,-7.5691032409668,-0.950042724609375,-7.34737396240234,-0.950042724609375,-6.33599758148193,-0.950042724609375,-5.9030294418335,-0.950042724609375,-6.04846477508545,-0.950042724609375,-6.21011257171631
-0.900042533874512,-4.67230796813965,-0.900042533874512,-4.9083423614502,-0.900042533874512,-5.06426811218262,-0.900042533874512,-5.1677417755127,-0.900042533874512,-5.8419942855835,-0.900042533874512,-5.69846630096436,-0.900042533874512,-5.67080974578857,-0.900042533874512,-5.66747188568115,-0.900042533874512,-7.39219665527344,-0.900042533874512,-7.13422775268555,-0.900042533874512,-7.05793380737305,-0.900042533874512,-7.04982757568359,-0.900042533874512,-6.78327083587646,-0.900042533874512,-6.63783550262451,-0.900042533874512,-6.62162303924561,-0.900042533874512,-6.61876201629639,-0.900042533874512,-10.3915119171143,-0.900042533874512,-9.79355812072754,-0.900042533874512,-9.44975852966309,-0.900042533874512,-9.23708438873291,-0.900042533874512,-16.7434844970703,-0.900042533874512,-14.0483903884888,-0.900042533874512,-12.5849723815918,-0.900042533874512,-11.7476415634155,-0.900042533874512,-7.48756408691406,-0.900042533874512,-7.02455520629883,-0.900042533874512,-6.70459270477295,-0.900042533874512,-6.5443754196167,-0.900042533874512,-5.66747188568115,-0.900042533874512,-5.30364036560059,-0.900042533874512,-5.4271411895752,-0.900042533874512,-5.56208610534668
-0.850120544433594,-4.16637897491455,-0.850120544433594,-4.38429832458496,-0.850120544433594,-4.52591896057129,-0.850120544433594,-4.62080955505371,-0.850120544433594,-5.13674736022949,-0.850120544433594,-5.04042625427246,-0.850120544433594,-5.03375053405762,-0.850120544433594,-5.04090309143066,-0.850120544433594,-6.56106472015381,-0.850120544433594,-6.32026195526123,-0.850120544433594,-6.24730587005615,-0.850120544433594,-6.2396764755249,-0.850120544433594,-5.9497594833374,-0.850120544433594,-5.83674907684326,-0.850120544433594,-5.83341121673584,-0.850120544433594,-5.8419942855835,-0.850120544433594,-9.0520715713501,-0.850120544433594,-8.52182865142822,-0.850120544433594,-8.19281101226807,-0.850120544433594,-7.96630859375,-0.850120544433594,-12.2998237609863,-0.850120544433594,-10.29709815979,-0.850120544433594,-9.35629367828369,-0.850120544433594,-8.8384485244751,-0.850120544433594,-6.44233226776123,-0.850120544433594,-6.12332820892334,-0.850120544433594,-5.89873790740967,-0.850120544433594,-5.79288005828857,-0.850120544433594,-5.04757881164551,-0.850120544433594,-4.74860191345215,-0.850120544433594,-4.84635353088379,-0.850120544433594,-4.95936393737793
-0.80012035369873,-3.69335651397705,-0.80012035369873,-3.89362812042236,-0.80012035369873,-4.021897315979,-0.80012035369873,-4.10772800445557,-0.80012035369873,-4.49397087097168,-0.80012035369873,-4.4353199005127,-0.80012035369873,-4.44437980651855,-0.80012035369873,-4.45868492126465,-0.80012035369873,-5.78238964080811,-0.80012035369873,-5.55779457092285,-0.80012035369873,-5.48388481140137,-0.80012035369873,-5.4738712310791,-0.80012035369873,-5.18061637878418,-0.80012035369873,-5.0919246673584,-0.80012035369873,-5.09573936462402,-0.80012035369873,-5.11099815368652,-0.80012035369873,-7.71406173706055,-0.80012035369873,-7.24342346191406,-0.80012035369873,-6.93252563476563,-0.80012035369873,-6.69934749603271,-0.80012035369873,-8.6562967300415,-0.80012035369873,-7.19097137451172,-0.80012035369873,-6.58681392669678,-0.80012035369873,-6.28402233123779,-0.80012035369873,-5.46338081359863,-0.80012035369873,-5.26167869567871,-0.80012035369873,-5.12053489685059,-0.80012035369873,-5.0618839263916,-0.80012035369873,-4.46965217590332,-0.80012035369873,-4.22407627105713,-0.80012035369873,-4.29941654205322,-0.80012035369873,-4.39431190490723
-0.750198364257813,-3.24608325958252,-0.750198364257813,-3.42918872833252,-0.750198364257813,-3.54315280914307,-0.750198364257813,-3.62040042877197,-0.750198364257813,-3.89696598052979,-0.750198364257813,-3.86692523956299,-0.750198364257813,-3.88838291168213,-0.750198364257813,-3.90745639801025,-0.750198364257813,-5.0313663482666,-0.750198364257813,-4.81869697570801,-0.750198364257813,-4.74240303039551,-0.750198364257813,-4.7252368927002,-0.750198364257813,-4.44724082946777,-0.750198364257813,-4.37714576721191,-0.750198364257813,-4.38239097595215,-0.750198364257813,-4.40003395080566,-0.750198364257813,-6.38892650604248,-0.750198364257813,-5.97312450408936,-0.750198364257813,-5.68368434906006,-0.750198364257813,-5.45145988464355,-0.750198364257813,-5.61692237854004,-0.750198364257813,-4.55977439880371,-0.750198364257813,-4.18068408966064,-0.750198364257813,-4.01998996734619,-0.750198364257813,-4.5421314239502,-0.750198364257813,-4.42959785461426,-0.750198364257813,-4.357590675354,-0.750198364257813,-4.33517932891846,-0.750198364257813,-3.92033100128174,-0.750198364257813,-3.72244358062744,-0.750198364257813,-3.77823352813721,-0.750198364257813,-3.85786533355713
-0.700198173522949,-2.81930923461914,-0.700198173522949,-2.98429489135742,-0.700198173522949,-3.08347702026367,-0.700198173522949,-3.1511926651001,-0.700198173522949,-3.3342981338501,-0.700198173522949,-3.32809925079346,-0.700198173522949,-3.35718631744385,-0.700198173522949,-3.37864398956299,-0.700198173522949,-4.29798603057861,-0.700198173522949,-4.09580707550049,-0.700198173522949,-4.01474475860596,-0.700198173522949,-3.98756504058838,-0.700198173522949,-3.73865604400635,-0.700198173522949,-3.68095874786377,-0.700198173522949,-3.68334293365479,-0.700198173522949,-3.69907855987549,-0.700198173522949,-5.09860038757324,-0.700198173522949,-4.72857475280762,-0.700198173522949,-4.46345329284668,-0.700198173522949,-4.23647403717041,-0.700198173522949,-3.04866790771484,-0.700198173522949,-2.30194091796875,-0.700198173522949,-2.09070205688477,-0.700198173522949,-2.02442169189453,-0.700198173522949,-3.67285251617432,-0.700198173522949,-3.62707614898682,-0.700198173522949,-3.61086368560791,-0.700198173522949,-3.61849308013916,-0.700198173522949,-3.39008808135986,-0.700198173522949,-3.23893070220947,-0.700198173522949,-3.27850818634033,-0.700198173522949,-3.34145069122314
-0.650197982788086,-2.41209030151367,-0.650197982788086,-2.55657196044922,-0.650197982788086,-2.63858795166016,-0.650197982788086,-2.69580841064453,-0.650197982788086,-2.79975891113281,-0.650197982788086,-2.81120300292969,-0.650197982788086,-2.84458160400391,-0.650197982788086,-2.86746978759766,-0.650197982788086,-3.58177661895752,-0.650197982788086,-3.38531970977783,-0.650197982788086,-3.29805850982666,-0.650197982788086,-3.25991153717041,-0.650197982788086,-3.05057525634766,-0.650197982788086,-3.00050735473633,-0.650197982788086,-2.99764633178711,-0.650197982788086,-3.00861358642578,-0.650197982788086,-3.85262012481689,-0.650197982788086,-3.51931095123291,-0.650197982788086,-3.2742166519165,-0.650197982788086,-3.05629730224609,-0.650197982788086,-0.87714672088623,-0.650197982788086,-0.377893447875977,-0.650197982788086,-0.29444694519043,-0.650197982788086,-0.287771224975586,-0.650197982788086,-2.84029006958008,-0.650197982788086,-2.85030364990234,-0.650197982788086,-2.87986755371094,-0.650197982788086,-2.91181564331055,-0.650197982788086,-2.8746223449707,-0.650197982788086,-2.77353286743164,-0.650197982788086,-2.79642105102539,-0.650197982788086,-2.84124374389648
-0.600275993347168,-2.02251434326172,-0.600275993347168,-2.14458465576172,-0.600275993347168,-2.20752716064453,-0.600275993347168,-2.25139617919922,-0.600275993347168,-2.28858947753906,-0.600275993347168,-2.31195449829102,-0.600275993347168,-2.34676361083984,-0.600275993347168,-2.36869812011719,-0.600275993347168,-2.88034439086914,-0.600275993347168,-2.68579483032227,-0.600275993347168,-2.59042739868164,-0.600275993347168,-2.54035949707031,-0.600275993347168,-2.37966537475586,-0.600275993347168,-2.33245849609375,-0.600275993347168,-2.32292175292969,-0.600275993347168,-2.32673645019531,-0.600275993347168,-2.64240264892578,-0.600275993347168,-2.34294891357422,-0.600275993347168,-2.11645126342773,-0.600275993347168,-1.90664291381836,-0.600275993347168,0.929121971130371,-0.600275993347168,1.23334407806396,-0.600275993347168,1.2233304977417,-0.600275993347168,1.19567394256592,-0.600275993347168,-2.03157424926758,-0.600275993347168,-2.09117889404297,-0.600275993347168,-2.1565055847168,-0.600275993347168,-2.21134185791016,-0.600275993347168,-2.37489700317383,-0.600275993347168,-2.32769012451172,-0.600275993347168,-2.33293533325195,-0.600275993347168,-2.35916137695313
-0.550275802612305,-1.6510534286499,-0.550275802612305,-1.74928188323975,-0.550275802612305,-1.79076671600342,-0.550275802612305,-1.82080745697021,-0.550275802612305,-1.79505825042725,-0.550275802612305,-1.82748317718506,-0.550275802612305,-1.86181545257568,-0.550275802612305,-1.8828010559082,-0.550275802612305,-2.19226837158203,-0.550275802612305,-1.99485778808594,-0.550275802612305,-1.88804626464844,-0.550275802612305,-1.82414531707764,-0.550275802612305,-1.72067165374756,-0.550275802612305,-1.67203426361084,-0.550275802612305,-1.65486812591553,-0.550275802612305,-1.65153026580811,-0.550275802612305,-1.46461009979248,-0.550275802612305,-1.19948863983154,-0.550275802612305,-0.99158763885498,-0.550275802612305,-0.793700218200684,-0.550275802612305,2.40207672119141,-0.550275802612305,2.56134033203125,-0.550275802612305,2.49076843261719,-0.550275802612305,2.44976043701172,-0.550275802612305,-1.24240398406982,-0.550275802612305,-1.34349346160889,-0.550275802612305,-1.4364767074585,-0.550275802612305,-1.50847911834717,-0.550275802612305,-1.89472198486328,-0.550275802612305,-1.90282821655273,-0.550275802612305,-1.89138412475586,-0.550275802612305,-1.89615249633789
