receptor_0_1mA_1min: CV i vs E Scan 2,,receptor_0_1mA_1min: CV i vs E Scan 3,,receptor_0_1mA_1min: CV i vs E Scan 4,,receptor_0_1mA_1min: CV i vs E Scan 5,,receptor_0_1mA_5min [1]: CV i vs E Scan 2,,receptor_0_1mA_5min [1]: CV i vs E Scan 3,,receptor_0_1mA_5min [1]: CV i vs E Scan 4,,receptor_0_1mA_5min [1]: CV i vs E Scan 5,,receptor_0_1mA_10min [1]: CV i vs E Scan 2 [1],,receptor_0_1mA_10min [1]: CV i vs E Scan 3 [1],,receptor_0_1mA_10min [1]: CV i vs E Scan 4 [1],,receptor_0_1mA_10min [1]: CV i vs E Scan 5 [1],,receptor_0_1mA_15min [1]: CV i vs E Scan 2,,receptor_0_1mA_15min [1]: CV i vs E Scan 3,,receptor_0_1mA_15min [1]: CV i vs E Scan 4,,receptor_0_1mA_15min [1]: CV i vs E Scan 5,,receptor_0_1mA_20min [1]: CV i vs E Scan 2 [1],,receptor_0_1mA_20min [1]: CV i vs E Scan 3 [1],,receptor_0_1mA_20min [1]: CV i vs E Scan 4 [1],,receptor_0_1mA_20min [1]: CV i vs E Scan 5 [1],,receptor_0_1mA_25min [1]: CV i vs E Scan 2,,receptor_0_1mA_25min [1]: CV i vs E Scan 3,,receptor_0_1mA_25min [1]: CV i vs E Scan 4,,receptor_0_1mA_25min [1]: CV i vs E Scan 5,,receptor_0mA_1min [1]: CV i vs E Scan 2,,receptor_0mA_1min [1]: CV i vs E Scan 3,,receptor_0mA_1min [1]: CV i vs E Scan 4,,receptor_0mA_1min [1]: CV i vs E Scan 5
Date and time measurement:,2025-07-04 13:18:42,Date and time measurement:,2025-07-04 13:18:42,Date and time measurement:,2025-07-04 13:18:42,Date and time measurement:,2025-07-04 13:18:42,Date and time measurement:,2025-07-04 13:26:46,Date and time measurement:,2025-07-04 13:26:46,Date and time measurement:,2025-07-04 13:26:46,Date and time measurement:,2025-07-04 13:26:46,Date and time measurement:,2025-07-04 13:30:50,Date and time measurement:,2025-07-04 13:30:50,Date and time measurement:,2025-07-04 13:30:50,Date and time measurement:,2025-07-04 13:30:50,Date and time measurement:,2025-07-04 13:35:04,Date and time measurement:,2025-07-04 13:35:04,Date and time measurement:,2025-07-04 13:35:04,Date and time measurement:,2025-07-04 13:35:04,Date and time measurement:,2025-07-04 13:39:06,Date and time measurement:,2025-07-04 13:39:06,Date and time measurement:,2025-07-04 13:39:06,Date and time measurement:,2025-07-04 13:39:06,Date and time measurement:,2025-07-04 13:43:49,Date and time measurement:,2025-07-04 13:43:49,Date and time measurement:,2025-07-04 13:43:49,Date and time measurement:,2025-07-04 13:43:49,Date and time measurement:,2025-07-04 13:13:41,Date and time measurement:,2025-07-04 13:13:41,Date and time measurement:,2025-07-04 13:13:41,Date and time measurement:,2025-07-04 13:13:41,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-6.09424114227295,-1.00004291534424,-6.10473155975342,-1.00004291534424,-6.1171293258667,-1.00004291534424,-6.17959499359131,-1.00004291534424,-6.75036907196045,-1.00004291534424,-6.83667659759521,-1.00004291534424,-6.89342498779297,-1.00004291534424,-6.92489624023438,-1.00004291534424,-7.93436050415039,-1.00004291534424,-7.70023345947266,-1.00004291534424,-7.60677337646484,-1.00004291534424,-7.56576538085938,-1.00004291534424,-8.92809391021729,-1.00004291534424,-8.55425357818604,-1.00004291534424,-8.34063053131104,-1.00004291534424,-8.18041324615479,-1.00004291534424,-8.92380237579346,-1.00004291534424,-8.58334064483643,-1.00004291534424,-8.3659029006958,-1.00004291534424,-8.26958179473877,-1.00004291534424,-8.6248254776001,-1.00004291534424,-8.3811616897583,-1.00004291534424,-8.21951389312744,-1.00004291534424,-8.16658496856689,-1.00004291534424,-7.7369499206543,-1.00004291534424,-7.69784927368164,-1.00004291534424,-7.69021987915039,-1.00004291534424,-7.68735885620117
-0.950042724609375,-5.40854454040527,-0.950042724609375,-5.44096946716309,-0.950042724609375,-5.47053337097168,-0.950042724609375,-5.53586006164551,-0.950042724609375,-6.02033138275146,-0.950042724609375,-6.10520839691162,-0.950042724609375,-6.16433620452881,-0.950042724609375,-6.19819164276123,-0.950042724609375,-6.93634033203125,-0.950042724609375,-6.79805278778076,-0.950042724609375,-6.74703121185303,-0.950042724609375,-6.73177242279053,-0.950042724609375,-7.70118713378906,-0.950042724609375,-7.4632453918457,-0.950042724609375,-7.32305526733398,-0.950042724609375,-7.21338272094727,-0.950042724609375,-7.74171829223633,-0.950042724609375,-7.52475738525391,-0.950042724609375,-7.36930847167969,-0.950042724609375,-7.30493545532227,-0.950042724609375,-7.53190994262695,-0.950042724609375,-7.386474609375,-0.950042724609375,-7.2796630859375,-0.950042724609375,-7.24056243896484,-0.950042724609375,-6.7584753036499,-0.950042724609375,-6.76419734954834,-0.950042724609375,-6.77850246429443,-0.950042724609375,-6.78946971893311
-0.900042533874512,-4.77864265441895,-0.900042533874512,-4.83490943908691,-0.900042533874512,-4.8787784576416,-0.900042533874512,-4.94696617126465,-0.900042533874512,-5.3522777557373,-0.900042533874512,-5.43572425842285,-0.900042533874512,-5.49389839172363,-0.900042533874512,-5.52823066711426,-0.900042533874512,-6.0413122177124,-0.900042533874512,-5.97789287567139,-0.900042533874512,-5.9640645980835,-0.900042533874512,-5.96930980682373,-0.900042533874512,-6.61256313323975,-0.900042533874512,-6.48000240325928,-0.900042533874512,-6.40323162078857,-0.900042533874512,-6.33647441864014,-0.900042533874512,-6.67598247528076,-0.900042533874512,-6.55868053436279,-0.900042533874512,-6.46140575408936,-0.900042533874512,-6.42564296722412,-0.900042533874512,-6.52768611907959,-0.900042533874512,-6.46665096282959,-0.900042533874512,-6.40466213226318,-0.900042533874512,-6.39035701751709,-0.900042533874512,-5.87394237518311,-0.900042533874512,-5.91781139373779,-0.900042533874512,-5.95071315765381,-0.900042533874512,-5.97503185272217
-0.850120544433594,-4.19928073883057,-0.850120544433594,-4.27366733551025,-0.850120544433594,-4.32850360870361,-0.850120544433594,-4.39478874206543,-0.850120544433594,-4.72714424133301,-0.850120544433594,-4.80916023254395,-0.850120544433594,-4.8625659942627,-0.850120544433594,-4.89594459533691,-0.850120544433594,-5.2149486541748,-0.850120544433594,-5.20684242248535,-0.850120544433594,-5.22210121154785,-0.850120544433594,-5.24212837219238,-0.850120544433594,-5.60690879821777,-0.850120544433594,-5.55779457092285,-0.850120544433594,-5.53204536437988,-0.850120544433594,-5.50105094909668,-0.850120544433594,-5.66937923431396,-0.850120544433594,-5.63457012176514,-0.850120544433594,-5.58878898620605,-0.850120544433594,-5.57829856872559,-0.850120544433594,-5.56303977966309,-0.850120544433594,-5.57114601135254,-0.850120544433594,-5.5496883392334,-0.850120544433594,-5.55684089660645,-0.850120544433594,-5.05806922912598,-0.850120544433594,-5.13340950012207,-0.850120544433594,-5.17966270446777,-0.850120544433594,-5.2135181427002
-0.80012035369873,-3.65330219268799,-0.80012035369873,-3.7462854385376,-0.80012035369873,-3.80875110626221,-0.80012035369873,-3.87169361114502,-0.80012035369873,-4.13204669952393,-0.80012035369873,-4.20929431915283,-0.80012035369873,-4.25650119781494,-0.80012035369873,-4.28701877593994,-0.80012035369873,-4.42769050598145,-0.80012035369873,-4.46488380432129,-0.80012035369873,-4.50160026550293,-0.80012035369873,-4.53068733215332,-0.80012035369873,-4.65943336486816,-0.80012035369873,-4.67326164245605,-0.80012035369873,-4.68565940856934,-0.80012035369873,-4.68232154846191,-0.80012035369873,-4.69996452331543,-0.80012035369873,-4.73000526428223,-0.80012035369873,-4.7266674041748,-0.80012035369873,-4.73715782165527,-0.80012035369873,-4.62319374084473,-0.80012035369873,-4.68518257141113,-0.80012035369873,-4.69662666320801,-0.80012035369873,-4.71903800964355,-0.80012035369873,-4.28844928741455,-0.80012035369873,-4.38858985900879,-0.80012035369873,-4.44533348083496,-0.80012035369873,-4.48586463928223
-0.750198364257813,-3.13545703887939,-0.750198364257813,-3.24131488800049,-0.750198364257813,-3.30997943878174,-0.750198364257813,-3.36767673492432,-0.750198364257813,-3.55412006378174,-0.750198364257813,-3.62326145172119,-0.750198364257813,-3.66331577301025,-0.750198364257813,-3.69001865386963,-0.750198364257813,-3.66236209869385,-0.750198364257813,-3.73579502105713,-0.750198364257813,-3.78824710845947,-0.750198364257813,-3.8230562210083,-0.750198364257813,-3.76011371612549,-0.750198364257813,-3.81971836090088,-0.750198364257813,-3.85738849639893,-0.750198364257813,-3.87407779693604,-0.750198364257813,-3.77012729644775,-0.750198364257813,-3.84546756744385,-0.750198364257813,-3.87169361114502,-0.750198364257813,-3.89648914337158,-0.750198364257813,-3.71529102325439,-0.750198364257813,-3.81161212921143,-0.750198364257813,-3.84642124176025,-0.750198364257813,-3.87836933135986,-0.750198364257813,-3.55459690093994,-0.750198364257813,-3.67142200469971,-0.750198364257813,-3.73341083526611,-0.750198364257813,-3.7768030166626
-0.700198173522949,-2.64383316040039,-0.700198173522949,-2.75779724121094,-0.700198173522949,-2.82741546630859,-0.700198173522949,-2.87939071655273,-0.700198173522949,-2.98667907714844,-0.700198173522949,-3.04866790771484,-0.700198173522949,-3.07966232299805,-0.700198173522949,-3.10016632080078,-0.700198173522949,-2.92469024658203,-0.700198173522949,-3.02244186401367,-0.700198173522949,-3.08204650878906,-0.700198173522949,-3.12067031860352,-0.700198173522949,-2.90847778320313,-0.700198173522949,-2.99955368041992,-0.700198173522949,-3.05391311645508,-0.700198173522949,-3.08538436889648,-0.700198173522949,-2.88463592529297,-0.700198173522949,-2.98667907714844,-0.700198173522949,-3.03531646728516,-0.700198173522949,-3.07012557983398,-0.700198173522949,-2.84267425537109,-0.700198173522949,-2.96045303344727,-0.700198173522949,-3.01052093505859,-0.700198173522949,-3.04819107055664,-0.700198173522949,-2.86031723022461,-0.700198173522949,-2.98381805419922,-0.700198173522949,-3.04580688476563,-0.700198173522949,-3.0877685546875
-0.650197982788086,-2.17939376831055,-0.650197982788086,-2.2943115234375,-0.650197982788086,-2.36106872558594,-0.650197982788086,-2.40493774414063,-0.650197982788086,-2.43450164794922,-0.650197982788086,-2.48790740966797,-0.650197982788086,-2.50984191894531,-0.650197982788086,-2.52414703369141,-0.650197982788086,-2.21944808959961,-0.650197982788086,-2.33102798461914,-0.650197982788086,-2.39349365234375,-0.650197982788086,-2.43259429931641,-0.650197982788086,-2.0954704284668,-0.650197982788086,-2.20752716064453,-0.650197982788086,-2.27476119995117,-0.650197982788086,-2.31672286987305,-0.650197982788086,-2.03586578369141,-0.650197982788086,-2.15459823608398,-0.650197982788086,-2.2175407409668,-0.650197982788086,-2.25902557373047,-0.650197982788086,-1.99914932250977,-0.650197982788086,-2.12884902954102,-0.650197982788086,-2.18988418579102,-0.650197982788086,-2.23041534423828,-0.650197982788086,-2.20657348632813,-0.650197982788086,-2.32816696166992,-0.650197982788086,-2.38729476928711,-0.650197982788086,-2.42448806762695
-0.600275993347168,-1.7421293258667,-0.600275993347168,-1.85227870941162,-0.600275993347168,-1.91188812255859,-0.600275993347168,-1.94669723510742,-0.600275993347168,-1.90187454223633,-0.600275993347168,-1.94478988647461,-0.600275993347168,-1.9586181640625,-0.600275993347168,-1.96672439575195,-0.600275993347168,-1.53995037078857,-0.600275993347168,-1.65915966033936,-0.600275993347168,-1.72210216522217,-0.600275993347168,-1.75881862640381,-0.600275993347168,-1.30773067474365,-0.600275993347168,-1.43361568450928,-0.600275993347168,-1.50990962982178,-0.600275993347168,-1.55997753143311,-0.600275993347168,-1.2085485458374,-0.600275993347168,-1.33777141571045,-0.600275993347168,-1.41168117523193,-0.600275993347168,-1.45698070526123,-0.600275993347168,-1.17326259613037,-0.600275993347168,-1.31059169769287,-0.600275993347168,-1.37830257415771,-0.600275993347168,-1.41978740692139,-0.600275993347168,-1.58668041229248,-0.600275993347168,-1.70064449310303,-0.600275993347168,-1.75405025482178,-0.600275993347168,-1.78409099578857
-0.550275802612305,-1.3301420211792,-0.550275802612305,-1.43218517303467,-0.550275802612305,-1.48368358612061,-0.550275802612305,-1.50847911834717,-0.550275802612305,-1.38736248016357,-0.550275802612305,-1.421217918396,-0.550275802612305,-1.42598628997803,-0.550275802612305,-1.42741680145264,-0.550275802612305,-0.877623558044434,-0.550275802612305,-1.00112438201904,-0.550275802612305,-1.06168270111084,-0.550275802612305,-1.09553813934326,-0.550275802612305,-0.539541244506836,-0.550275802612305,-0.675444602966309,-0.550275802612305,-0.756983757019043,-0.550275802612305,-0.812296867370605,-0.550275802612305,-0.400781631469727,-0.550275802612305,-0.53715705871582,-0.550275802612305,-0.617265701293945,-0.550275802612305,-0.66352367401123,-0.550275802612305,-0.366449356079102,-0.550275802612305,-0.507593154907227,-0.550275802612305,-0.579118728637695,-0.550275802612305,-0.618219375610352,-0.550275802612305,-0.994925498962402,-0.550275802612305,-1.09744548797607,-0.550275802612305,-1.14274501800537,-0.550275802612305,-1.16467952728271
