receptor_0_2mA_5min: CV i vs E Scan 2,,receptor_0_2mA_5min: CV i vs E Scan 3,,receptor_0_2mA_5min: CV i vs E Scan 4,,receptor_0_2mA_5min: CV i vs E Scan 5,,receptor_0_2mA_7min: CV i vs E Scan 2,,receptor_0_2mA_7min: CV i vs E Scan 3,,receptor_0_2mA_7min: CV i vs E Scan 4,,receptor_0_2mA_7min: CV i vs E Scan 5,,receptor_0_2mA_10min: CV i vs E Scan 2,,receptor_0_2mA_10min: CV i vs E Scan 3,,receptor_0_2mA_10min: CV i vs E Scan 4,,receptor_0_2mA_10min: CV i vs E Scan 5,,receptor_0_2mA_15min: CV i vs E Scan 2,,receptor_0_2mA_15min: CV i vs E Scan 3,,receptor_0_2mA_15min: CV i vs E Scan 4,,receptor_0_2mA_15min: CV i vs E Scan 5,,receptor_0_2mA_20min: CV i vs E Scan 2,,receptor_0_2mA_20min: CV i vs E Scan 3,,receptor_0_2mA_20min: CV i vs E Scan 4,,receptor_0_2mA_20min: CV i vs E Scan 5,,receptor_0_2mA_25min: CV i vs E Scan 2,,receptor_0_2mA_25min: CV i vs E Scan 3,,receptor_0_2mA_25min: CV i vs E Scan 4,,receptor_0_2mA_25min: CV i vs E Scan 5,,receptor_0_2mA_30min: CV i vs E Scan 2,,receptor_0_2mA_30min: CV i vs E Scan 3,,receptor_0_2mA_30min: CV i vs E Scan 4,,receptor_0_2mA_30min: CV i vs E Scan 5,,receptor_0mA_3min [1]: CV i vs E Scan 2,,receptor_0mA_3min [1]: CV i vs E Scan 3,,receptor_0mA_3min [1]: CV i vs E Scan 4,,receptor_0mA_3min [1]: CV i vs E Scan 5
Date and time measurement:,2025-07-01 16:46:19,Date and time measurement:,2025-07-01 16:46:19,Date and time measurement:,2025-07-01 16:46:19,Date and time measurement:,2025-07-01 16:46:19,Date and time measurement:,2025-07-01 16:50:35,Date and time measurement:,2025-07-01 16:50:35,Date and time measurement:,2025-07-01 16:50:35,Date and time measurement:,2025-07-01 16:50:35,Date and time measurement:,2025-07-01 16:54:55,Date and time measurement:,2025-07-01 16:54:55,Date and time measurement:,2025-07-01 16:54:55,Date and time measurement:,2025-07-01 16:54:55,Date and time measurement:,2025-07-01 16:59:16,Date and time measurement:,2025-07-01 16:59:16,Date and time measurement:,2025-07-01 16:59:16,Date and time measurement:,2025-07-01 16:59:16,Date and time measurement:,2025-07-01 17:03:33,Date and time measurement:,2025-07-01 17:03:33,Date and time measurement:,2025-07-01 17:03:33,Date and time measurement:,2025-07-01 17:03:33,Date and time measurement:,2025-07-01 17:07:47,Date and time measurement:,2025-07-01 17:07:47,Date and time measurement:,2025-07-01 17:07:47,Date and time measurement:,2025-07-01 17:07:47,Date and time measurement:,2025-07-01 17:13:34,Date and time measurement:,2025-07-01 17:13:34,Date and time measurement:,2025-07-01 17:13:34,Date and time measurement:,2025-07-01 17:13:34,Date and time measurement:,2025-07-01 16:42:01,Date and time measurement:,2025-07-01 16:42:01,Date and time measurement:,2025-07-01 16:42:01,Date and time measurement:,2025-07-01 16:42:01,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-7.66494750976563,-1.00004291534424,-7.46038436889648,-1.00004291534424,-7.29110717773438,-1.00004291534424,-7.24246978759766,-1.00004291534424,-7.66971588134766,-1.00004291534424,-7.5385856628418,-1.00004291534424,-7.47659683227539,-1.00004291534424,-7.43701934814453,-1.00004291534424,-7.10180282592773,-1.00004291534424,-7.04029083251953,-1.00004291534424,-7.00977325439453,-1.00004291534424,-6.99546813964844,-1.00004291534424,-7.92768478393555,-1.00004291534424,-7.74696350097656,-1.00004291534424,-7.73599624633789,-1.00004291534424,-7.7216911315918,-1.00004291534424,-8.72353076934814,-1.00004291534424,-8.48701953887939,-1.00004291534424,-8.40309619903564,-1.00004291534424,-8.30391407012939,-1.00004291534424,-8.28484058380127,-1.00004291534424,-8.13606739044189,-1.00004291534424,-8.08647155761719,-1.00004291534424,-8.00302505493164,-1.00004291534424,-9.83122825622559,-1.00004291534424,-9.68960762023926,-1.00004291534424,-9.61522102355957,-1.00004291534424,-9.59090232849121,-1.00004291534424,-7.46467590332031,-1.00004291534424,-7.73265838623047,-1.00004291534424,-7.76269912719727,-1.00004291534424,-7.74410247802734
-0.950042724609375,-6.74703121185303,-0.950042724609375,-6.57727718353271,-0.950042724609375,-6.44137859344482,-0.950042724609375,-6.40513896942139,-0.950042724609375,-6.71508312225342,-0.950042724609375,-6.62305355072021,-0.950042724609375,-6.58299922943115,-0.950042724609375,-6.56106472015381,-0.950042724609375,-6.22823238372803,-0.950042724609375,-6.20152950286865,-0.950042724609375,-6.19103908538818,-0.950042724609375,-6.18674755096436,-0.950042724609375,-6.90391540527344,-0.950042724609375,-6.77993297576904,-0.950042724609375,-6.78231716156006,-0.950042724609375,-6.77993297576904,-0.950042724609375,-7.54383087158203,-0.950042724609375,-7.37932205200195,-0.950042724609375,-7.32734680175781,-0.950042724609375,-7.25629806518555,-0.950042724609375,-7.19669342041016,-0.950042724609375,-7.09989547729492,-0.950042724609375,-7.07080841064453,-0.950042724609375,-7.00977325439453,-0.950042724609375,-8.50847721099854,-0.950042724609375,-8.34969043731689,-0.950042724609375,-8.27339649200439,-0.950042724609375,-8.25050830841064,-0.950042724609375,-6.63402080535889,-0.950042724609375,-6.85193538665771,-0.950042724609375,-6.88150405883789,-0.950042724609375,-6.85861110687256
-0.900042533874512,-5.92305660247803,-0.900042533874512,-5.78668117523193,-0.900042533874512,-5.67891597747803,-0.900042533874512,-5.65555095672607,-0.900042533874512,-5.86917400360107,-0.900042533874512,-5.80623149871826,-0.900042533874512,-5.78382015228271,-0.900042533874512,-5.77285289764404,-0.900042533874512,-5.44955253601074,-0.900042533874512,-5.44859886169434,-0.900042533874512,-5.45336723327637,-0.900042533874512,-5.45622825622559,-0.900042533874512,-5.99267482757568,-0.900042533874512,-5.91590404510498,-0.900042533874512,-5.92734813690186,-0.900042533874512,-5.9335470199585,-0.900042533874512,-6.50050640106201,-0.900042533874512,-6.39083385467529,-0.900042533874512,-6.36317729949951,-0.900042533874512,-6.315016746521,-0.900042533874512,-6.23109340667725,-0.900042533874512,-6.17339611053467,-0.900042533874512,-6.15956783294678,-0.900042533874512,-6.11426830291748,-0.900042533874512,-7.30207443237305,-0.900042533874512,-7.13184356689453,-0.900042533874512,-7.05268859863281,-0.900042533874512,-7.02741622924805,-0.900042533874512,-5.88204860687256,-0.900042533874512,-6.05704784393311,-0.900042533874512,-6.08518123626709,-0.900042533874512,-6.06276988983154
-0.850120544433594,-5.16392707824707,-0.850120544433594,-5.0609302520752,-0.850120544433594,-4.97748374938965,-0.850120544433594,-4.96317863464355,-0.850120544433594,-5.09860038757324,-0.850120544433594,-5.05902290344238,-0.850120544433594,-5.04948616027832,-0.850120544433594,-5.04471778869629,-0.850120544433594,-4.73715782165527,-0.850120544433594,-4.75766181945801,-0.850120544433594,-4.77292060852051,-0.850120544433594,-4.77816581726074,-0.850120544433594,-5.15963554382324,-0.850120544433594,-5.12101173400879,-0.850120544433594,-5.13531684875488,-0.850120544433594,-5.14533042907715,-0.850120544433594,-5.54205894470215,-0.850120544433594,-5.47720909118652,-0.850120544433594,-5.46528816223145,-0.850120544433594,-5.43286323547363,-0.850120544433594,-5.34512519836426,-0.850120544433594,-5.31556129455566,-0.850120544433594,-5.30983924865723,-0.850120544433594,-5.2755069732666,-0.850120544433594,-6.13906383514404,-0.850120544433594,-5.9650182723999,-0.850120544433594,-5.88729381561279,-0.850120544433594,-5.86059093475342,-0.850120544433594,-5.18776893615723,-0.850120544433594,-5.32938957214355,-0.850120544433594,-5.34798622131348,-0.850120544433594,-5.32319068908691
-0.80012035369873,-4.45630073547363,-0.80012035369873,-4.37952995300293,-0.80012035369873,-4.31610584259033,-0.80012035369873,-4.30799961090088,-0.80012035369873,-4.38334465026855,-0.80012035369873,-4.36235904693604,-0.80012035369873,-4.35949802398682,-0.80012035369873,-4.357590675354,-0.80012035369873,-4.07768726348877,-0.80012035369873,-4.11106586456299,-0.80012035369873,-4.13347721099854,-0.80012035369873,-4.13681507110596,-0.80012035369873,-4.38906669616699,-0.80012035369873,-4.37809944152832,-0.80012035369873,-4.39192771911621,-0.80012035369873,-4.40241813659668,-0.80012035369873,-4.65323448181152,-0.80012035369873,-4.62033271789551,-0.80012035369873,-4.61699485778809,-0.80012035369873,-4.59410667419434,-0.80012035369873,-4.52019691467285,-0.80012035369873,-4.51018333435059,-0.80012035369873,-4.50970649719238,-0.80012035369873,-4.4810962677002,-0.80012035369873,-5.00895500183105,-0.80012035369873,-4.83824729919434,-0.80012035369873,-4.76624488830566,-0.80012035369873,-4.73954200744629,-0.80012035369873,-4.53021049499512,-0.80012035369873,-4.64131355285645,-0.80012035369873,-4.65085029602051,-0.80012035369873,-4.62080955505371
-0.750198364257813,-3.78967761993408,-0.750198364257813,-3.73341083526611,-0.750198364257813,-3.6852502822876,-0.750198364257813,-3.68048191070557,-0.750198364257813,-3.71147632598877,-0.750198364257813,-3.70384693145752,-0.750198364257813,-3.70384693145752,-0.750198364257813,-3.70241641998291,-0.750198364257813,-3.45970630645752,-0.750198364257813,-3.49928379058838,-0.750198364257813,-3.52455615997314,-0.750198364257813,-3.52407932281494,-0.750198364257813,-3.6709451675415,-0.750198364257813,-3.67714405059814,-0.750198364257813,-3.68715763092041,-0.750198364257813,-3.69478702545166,-0.750198364257813,-3.82114887237549,-0.750198364257813,-3.80875110626221,-0.750198364257813,-3.80922794342041,-0.750198364257813,-3.7920618057251,-0.750198364257813,-3.74533176422119,-0.750198364257813,-3.7462854385376,-0.750198364257813,-3.74580860137939,-0.750198364257813,-3.72148990631104,-0.750198364257813,-3.91746997833252,-0.750198364257813,-3.75391483306885,-0.750198364257813,-3.68858814239502,-0.750198364257813,-3.66236209869385,-0.750198364257813,-3.89505863189697,-0.750198364257813,-3.98136615753174,-0.750198364257813,-3.97898197174072,-0.750198364257813,-3.94131183624268
-0.700198173522949,-3.16263675689697,-0.700198173522949,-3.11685562133789,-0.700198173522949,-3.08204650878906,-0.700198173522949,-3.07680130004883,-0.700198173522949,-3.07918548583984,-0.700198173522949,-3.07870864868164,-0.700198173522949,-3.07870864868164,-0.700198173522949,-3.07632446289063,-0.700198173522949,-2.87843704223633,-0.700198173522949,-2.91896820068359,-0.700198173522949,-2.94471740722656,-0.700198173522949,-2.93947219848633,-0.700198173522949,-2.99860000610352,-0.700198173522949,-3.01290512084961,-0.700198173522949,-3.01671981811523,-0.700198173522949,-3.02005767822266,-0.700198173522949,-3.03722381591797,-0.700198173522949,-3.03674697875977,-0.700198173522949,-3.03770065307617,-0.700198173522949,-3.02291870117188,-0.700198173522949,-3.01385879516602,-0.700198173522949,-3.01862716674805,-0.700198173522949,-3.01528930664063,-0.700198173522949,-2.99335479736328,-0.700198173522949,-2.86746978759766,-0.700198173522949,-2.71249771118164,-0.700198173522949,-2.65623092651367,-0.700198173522949,-2.6304817199707,-0.700198173522949,-3.28613758087158,-0.700198173522949,-3.36243152618408,-0.700198173522949,-3.32666873931885,-0.700198173522949,-3.28232288360596
-0.650197982788086,-2.56420135498047,-0.650197982788086,-2.52700805664063,-0.650197982788086,-2.50221252441406,-0.650197982788086,-2.49410629272461,-0.650197982788086,-2.48218536376953,-0.650197982788086,-2.48313903808594,-0.650197982788086,-2.48027801513672,-0.650197982788086,-2.47455596923828,-0.650197982788086,-2.32864379882813,-0.650197982788086,-2.36583709716797,-0.650197982788086,-2.38920211791992,-0.650197982788086,-2.37728118896484,-0.650197982788086,-2.36106872558594,-0.650197982788086,-2.37918853759766,-0.650197982788086,-2.37442016601563,-0.650197982788086,-2.37346649169922,-0.650197982788086,-2.29240417480469,-0.650197982788086,-2.29669570922852,-0.650197982788086,-2.29574203491211,-0.650197982788086,-2.28143692016602,-0.650197982788086,-2.31672286987305,-0.650197982788086,-2.32101440429688,-0.650197982788086,-2.31386184692383,-0.650197982788086,-2.29097366333008,-0.650197982788086,-1.85609340667725,-0.650197982788086,-1.7116117477417,-0.650197982788086,-1.66440486907959,-0.650197982788086,-1.64103984832764,-0.650197982788086,-2.69914627075195,-0.650197982788086,-2.7363395690918,-0.650197982788086,-2.69628524780273,-0.650197982788086,-2.64383316040039
-0.600275993347168,-1.99151992797852,-0.600275993347168,-1.95671081542969,-0.600275993347168,-1.93906784057617,-0.600275993347168,-1.92619323730469,-0.600275993347168,-1.91188812255859,-0.600275993347168,-1.90902709960938,-0.600275993347168,-1.90092086791992,-0.600275993347168,-1.89043045043945,-0.600275993347168,-1.8036413192749,-0.600275993347168,-1.83463573455811,-0.600275993347168,-1.85275554656982,-0.600275993347168,-1.83463573455811,-0.600275993347168,-1.75214290618896,-0.600275993347168,-1.76978588104248,-0.600275993347168,-1.75548076629639,-0.600275993347168,-1.74689769744873,-0.600275993347168,-1.573805809021,-0.600275993347168,-1.57809734344482,-0.600275993347168,-1.5747594833374,-0.600275993347168,-1.5595006942749,-0.600275993347168,-1.64533138275146,-0.600275993347168,-1.64342403411865,-0.600275993347168,-1.63197994232178,-0.600275993347168,-1.60670757293701,-0.600275993347168,-0.881438255310059,-0.600275993347168,-0.747923851013184,-0.600275993347168,-0.71073055267334,-0.600275993347168,-0.692133903503418,-0.600275993347168,-2.13266372680664,-0.600275993347168,-2.13266372680664,-0.600275993347168,-2.08402633666992,-0.600275993347168,-2.02346801757813
-0.550275802612305,-1.4364767074585,-0.550275802612305,-1.40119075775146,-0.550275802612305,-1.38783931732178,-0.550275802612305,-1.37019634246826,-0.550275802612305,-1.36352062225342,-0.550275802612305,-1.35112285614014,-0.550275802612305,-1.33681774139404,-0.550275802612305,-1.32060527801514,-0.550275802612305,-1.29867076873779,-0.550275802612305,-1.32060527801514,-0.550275802612305,-1.33300304412842,-0.550275802612305,-1.30820751190186,-0.550275802612305,-1.16134166717529,-0.550275802612305,-1.17564678192139,-0.550275802612305,-1.15037441253662,-0.550275802612305,-1.13606929779053,-0.550275802612305,-0.874762535095215,-0.550275802612305,-0.877623558044434,-0.550275802612305,-0.871901512145996,-0.550275802612305,-0.854735374450684,-0.550275802612305,-0.991110801696777,-0.550275802612305,-0.983004570007324,-0.550275802612305,-0.967745780944824,-0.550275802612305,-0.939135551452637,-0.550275802612305,0.0541210174560547,-0.550275802612305,0.172853469848633,-0.550275802612305,0.199079513549805,-0.550275802612305,0.211477279663086,-0.550275802612305,-1.58095836639404,-0.550275802612305,-1.54519557952881,-0.550275802612305,-1.48416042327881,-0.550275802612305,-1.41644954681396
