receptor_0_2mA_3min: CV i vs E Scan 2,,receptor_0_2mA_3min: CV i vs E Scan 3,,receptor_0_2mA_3min: CV i vs E Scan 4,,receptor_0_2mA_3min: CV i vs E Scan 5,,receptor_0_2mA_5min: CV i vs E Scan 2,,receptor_0_2mA_5min: CV i vs E Scan 3,,receptor_0_2mA_5min: CV i vs E Scan 4,,receptor_0_2mA_5min: CV i vs E Scan 5,,receptor_0_2mA_10min: CV i vs E Scan 2,,receptor_0_2mA_10min: CV i vs E Scan 3,,receptor_0_2mA_10min: CV i vs E Scan 4,,receptor_0_2mA_10min: CV i vs E Scan 5,,receptor_0_2mA_15min: CV i vs E Scan 2,,receptor_0_2mA_15min: CV i vs E Scan 3,,receptor_0_2mA_15min: CV i vs E Scan 4,,receptor_0_2mA_15min: CV i vs E Scan 5,,receptor_0_2mA_20min: CV i vs E Scan 2,,receptor_0_2mA_20min: CV i vs E Scan 3,,receptor_0_2mA_20min: CV i vs E Scan 4,,receptor_0_2mA_20min: CV i vs E Scan 5,,receptor_0_2mA_25min: CV i vs E Scan 2 [1],,receptor_0_2mA_25min: CV i vs E Scan 3 [1],,receptor_0_2mA_25min: CV i vs E Scan 4 [1],,receptor_0_2mA_25min: CV i vs E Scan 5 [1],,receptor_0_2mA_30min: CV i vs E Scan 2,,receptor_0_2mA_30min: CV i vs E Scan 3,,receptor_0_2mA_30min: CV i vs E Scan 4,,receptor_0_2mA_30min: CV i vs E Scan 5,,receptor_0mA_2min: CV i vs E Scan 2,,receptor_0mA_2min: CV i vs E Scan 3,,receptor_0mA_2min: CV i vs E Scan 4,,receptor_0mA_2min: CV i vs E Scan 5
Date and time measurement:,2025-07-04 10:53:26,Date and time measurement:,2025-07-04 10:53:26,Date and time measurement:,2025-07-04 10:53:26,Date and time measurement:,2025-07-04 10:53:26,Date and time measurement:,2025-07-04 10:58:27,Date and time measurement:,2025-07-04 10:58:27,Date and time measurement:,2025-07-04 10:58:27,Date and time measurement:,2025-07-04 10:58:27,Date and time measurement:,2025-07-04 11:02:38,Date and time measurement:,2025-07-04 11:02:38,Date and time measurement:,2025-07-04 11:02:38,Date and time measurement:,2025-07-04 11:02:38,Date and time measurement:,2025-07-04 11:07:59,Date and time measurement:,2025-07-04 11:07:59,Date and time measurement:,2025-07-04 11:07:59,Date and time measurement:,2025-07-04 11:07:59,Date and time measurement:,2025-07-04 11:12:48,Date and time measurement:,2025-07-04 11:12:48,Date and time measurement:,2025-07-04 11:12:48,Date and time measurement:,2025-07-04 11:12:48,Date and time measurement:,2025-07-04 11:17:03,Date and time measurement:,2025-07-04 11:17:03,Date and time measurement:,2025-07-04 11:17:03,Date and time measurement:,2025-07-04 11:17:03,Date and time measurement:,2025-07-04 11:21:59,Date and time measurement:,2025-07-04 11:21:59,Date and time measurement:,2025-07-04 11:21:59,Date and time measurement:,2025-07-04 11:21:59,Date and time measurement:,2025-07-04 10:48:04,Date and time measurement:,2025-07-04 10:48:04,Date and time measurement:,2025-07-04 10:48:04,Date and time measurement:,2025-07-04 10:48:04,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-6.73177242279053,-1.00004291534424,-6.58299922943115,-1.00004291534424,-6.48906230926514,-1.00004291534424,-6.44328594207764,-1.00004291534424,-9.13122653961182,-1.00004291534424,-8.60336780548096,-1.00004291534424,-8.26862812042236,-1.00004291534424,-8.01351547241211,-1.00004291534424,-7.84042358398438,-1.00004291534424,-7.53238677978516,-1.00004291534424,-7.34403610229492,-1.00004291534424,-7.22387313842773,-1.00004291534424,-8.63388538360596,-1.00004291534424,-8.36828708648682,-1.00004291534424,-8.19233417510986,-1.00004291534424,-8.05166244506836,-1.00004291534424,-9.09594058990479,-1.00004291534424,-8.79791736602783,-1.00004291534424,-8.64246845245361,-1.00004291534424,-8.48272800445557,-1.00004291534424,-10.6533002853394,-1.00004291534424,-10.2494144439697,-1.00004291534424,-10.015287399292,-1.00004291534424,-9.88844871520996,-1.00004291534424,-14.4293880462646,-1.00004291534424,-14.1103792190552,-1.00004291534424,-14.0917825698853,-1.00004291534424,-14.1251611709595,-1.00004291534424,-7.31637954711914,-1.00004291534424,-6.9291877746582,-1.00004291534424,-6.70459270477295,-1.00004291534424,-6.5601110458374
-0.950042724609375,-5.98838329315186,-0.950042724609375,-5.90064525604248,-0.950042724609375,-5.83770275115967,-0.950042724609375,-5.8124303817749,-0.950042724609375,-7.91147232055664,-0.950042724609375,-7.53286361694336,-0.950042724609375,-7.29349136352539,-0.950042724609375,-7.10847854614258,-0.950042724609375,-6.88579559326172,-0.950042724609375,-6.67455196380615,-0.950042724609375,-6.53865337371826,-0.950042724609375,-6.45425319671631,-0.950042724609375,-7.54716873168945,-0.950042724609375,-7.37312316894531,-0.950042724609375,-7.24723815917969,-0.950042724609375,-7.13804244995117,-0.950042724609375,-7.93149948120117,-0.950042724609375,-7.72359848022461,-0.950042724609375,-7.60915756225586,-0.950042724609375,-7.47564315795898,-0.950042724609375,-9.11215305328369,-0.950042724609375,-8.86133670806885,-0.950042724609375,-8.68490695953369,-0.950042724609375,-8.6095666885376,-0.950042724609375,-11.6980504989624,-0.950042724609375,-11.509222984314,-0.950042724609375,-11.4987325668335,-0.950042724609375,-11.5158987045288,-0.950042724609375,-6.45520687103271,-0.950042724609375,-6.16624355316162,-0.950042724609375,-6.00078105926514,-0.950042724609375,-5.89492321014404
-0.900042533874512,-5.31794548034668,-0.900042533874512,-5.28218269348145,-0.900042533874512,-5.24594306945801,-0.900042533874512,-5.23688316345215,-0.900042533874512,-6.84621334075928,-0.900042533874512,-6.5901517868042,-0.900042533874512,-6.42850399017334,-0.900042533874512,-6.2997579574585,-0.900042533874512,-6.02986812591553,-0.900042533874512,-5.89873790740967,-0.900042533874512,-5.80861568450928,-0.900042533874512,-5.75377941131592,-0.900042533874512,-6.56106472015381,-0.900042533874512,-6.46522045135498,-0.900042533874512,-6.3770055770874,-0.900042533874512,-6.29832744598389,-0.900042533874512,-6.8648099899292,-0.900042533874512,-6.74369335174561,-0.900042533874512,-6.64069652557373,-0.900042533874512,-6.56154155731201,-0.900042533874512,-7.66971588134766,-0.900042533874512,-7.54240036010742,-0.900042533874512,-7.44131088256836,-0.900042533874512,-7.38742828369141,-0.900042533874512,-9.33197498321533,-0.900042533874512,-9.19750690460205,-0.900042533874512,-9.19559955596924,-0.900042533874512,-9.20084476470947,-0.900042533874512,-5.68463802337646,-0.900042533874512,-5.48007011413574,-0.900042533874512,-5.36372184753418,-0.900042533874512,-5.28933525085449
-0.850120544433594,-4.70187187194824,-0.850120544433594,-4.70711708068848,-0.850120544433594,-4.6951961517334,-0.850120544433594,-4.69853401184082,-0.850120544433594,-5.87918758392334,-0.850120544433594,-5.72707653045654,-0.850120544433594,-5.6293249130249,-0.850120544433594,-5.54873466491699,-0.850120544433594,-5.24212837219238,-0.850120544433594,-5.17966270446777,-0.850120544433594,-5.12721061706543,-0.850120544433594,-5.09907722473145,-0.850120544433594,-5.63266277313232,-0.850120544433594,-5.59117317199707,-0.850120544433594,-5.55397987365723,-0.850120544433594,-5.49246788024902,-0.850120544433594,-5.83674907684326,-0.850120544433594,-5.78954219818115,-0.850120544433594,-5.72946071624756,-0.850120544433594,-5.67986965179443,-0.850120544433594,-6.3002347946167,-0.850120544433594,-6.25541210174561,-0.850120544433594,-6.2091588973999,-0.850120544433594,-6.18817806243896,-0.850120544433594,-7.20432281494141,-0.850120544433594,-7.10466384887695,-0.850120544433594,-7.10037231445313,-0.850120544433594,-7.09798812866211,-0.850120544433594,-4.98129844665527,-0.850120544433594,-4.84969139099121,-0.850120544433594,-4.77482795715332,-0.850120544433594,-4.72762107849121
-0.80012035369873,-4.12680149078369,-0.80012035369873,-4.16399478912354,-0.80012035369873,-4.17257785797119,-0.80012035369873,-4.18449878692627,-0.80012035369873,-4.98225212097168,-0.80012035369873,-4.91168022155762,-0.80012035369873,-4.86924171447754,-0.80012035369873,-4.83014106750488,-0.80012035369873,-4.50493812561035,-0.80012035369873,-4.49158668518066,-0.80012035369873,-4.47728157043457,-0.80012035369873,-4.46393013000488,-0.80012035369873,-4.73620414733887,-0.80012035369873,-4.74526405334473,-0.80012035369873,-4.73429679870605,-0.80012035369873,-4.70330238342285,-0.80012035369873,-4.84635353088379,-0.80012035369873,-4.85827445983887,-0.80012035369873,-4.82489585876465,-0.80012035369873,-4.80772972106934,-0.80012035369873,-5.00657081604004,-0.80012035369873,-5.02182960510254,-0.80012035369873,-5.00752449035645,-0.80012035369873,-5.00609397888184,-0.80012035369873,-5.2745532989502,-0.80012035369873,-5.19444465637207,-0.80012035369873,-5.18586158752441,-0.80012035369873,-5.1844310760498,-0.80012035369873,-4.32754993438721,-0.80012035369873,-4.26031589508057,-0.80012035369873,-4.22121524810791,-0.80012035369873,-4.19737339019775
-0.750198364257813,-3.58273029327393,-0.750198364257813,-3.64424228668213,-0.750198364257813,-3.66808414459229,-0.750198364257813,-3.68668079376221,-0.750198364257813,-4.12155628204346,-0.750198364257813,-4.1277551651001,-0.750198364257813,-4.13061618804932,-0.750198364257813,-4.12489414215088,-0.750198364257813,-3.79158496856689,-0.750198364257813,-3.82639408111572,-0.750198364257813,-3.83688449859619,-0.750198364257813,-3.84308338165283,-0.750198364257813,-3.87884616851807,-0.750198364257813,-3.92366886138916,-0.750198364257813,-3.93558979034424,-0.750198364257813,-3.92462253570557,-0.750198364257813,-3.88933658599854,-0.750198364257813,-3.94655704498291,-0.750198364257813,-3.93797397613525,-0.750198364257813,-3.93940448760986,-0.750198364257813,-3.79110813140869,-0.750198364257813,-3.83450031280518,-0.750198364257813,-3.84928226470947,-0.750198364257813,-3.86740207672119,-0.750198364257813,-3.49594593048096,-0.750198364257813,-3.43061923980713,-0.750198364257813,-3.42060565948486,-0.750198364257813,-3.41297626495361,-0.750198364257813,-3.70813846588135,-0.750198364257813,-3.7005090713501,-0.750198364257813,-3.69144916534424,-0.750198364257813,-3.68763446807861
-0.700198173522949,-3.06392669677734,-0.700198173522949,-3.14356327056885,-0.700198173522949,-3.17789554595947,-0.700198173522949,-3.20078372955322,-0.700198173522949,-3.30902576446533,-0.700198173522949,-3.37244510650635,-0.700198173522949,-3.411545753479,-0.700198173522949,-3.43204975128174,-0.700198173522949,-3.11304092407227,-0.700198173522949,-3.18409442901611,-0.700198173522949,-3.21699619293213,-0.700198173522949,-3.23368549346924,-0.700198173522949,-3.05486679077148,-0.700198173522949,-3.12830448150635,-0.700198173522949,-3.15834522247314,-0.700198173522949,-3.16406726837158,-0.700198173522949,-2.97714233398438,-0.700198173522949,-3.06488037109375,-0.700198173522949,-3.0729866027832,-0.700198173522949,-3.08919906616211,-0.700198173522949,-2.63763427734375,-0.700198173522949,-2.6915168762207,-0.700198173522949,-2.73586273193359,-0.700198173522949,-2.73490905761719,-0.700198173522949,-1.84321880340576,-0.700198173522949,-1.79458141326904,-0.700198173522949,-1.78122997283936,-0.700198173522949,-1.77026271820068,-0.700198173522949,-3.12353134155273,-0.700198173522949,-3.16502094268799,-0.700198173522949,-3.1817102432251,-0.700198173522949,-3.19363117218018
-0.650197982788086,-2.5684928894043,-0.650197982788086,-2.6600456237793,-0.650197982788086,-2.70009994506836,-0.650197982788086,-2.72584915161133,-0.650197982788086,-2.53416061401367,-0.650197982788086,-2.64144897460938,-0.650197982788086,-2.71011352539063,-0.650197982788086,-2.7515983581543,-0.650197982788086,-2.46597290039063,-0.650197982788086,-2.56229400634766,-0.650197982788086,-2.60902404785156,-0.650197982788086,-2.63620376586914,-0.650197982788086,-2.25902557373047,-0.650197982788086,-2.3548698425293,-0.650197982788086,-2.39778518676758,-0.650197982788086,-2.41399765014648,-0.650197982788086,-2.09022521972656,-0.650197982788086,-2.18845367431641,-0.650197982788086,-2.22326278686523,-0.650197982788086,-2.25282669067383,-0.650197982788086,-1.53613567352295,-0.650197982788086,-1.6048002243042,-0.650197982788086,-1.66106700897217,-0.650197982788086,-1.66726589202881,-0.650197982788086,-0.30970573425293,-0.650197982788086,-0.274419784545898,-0.650197982788086,-0.262022018432617,-0.650197982788086,-0.246763229370117,-0.650197982788086,-2.57087707519531,-0.650197982788086,-2.65146255493164,-0.650197982788086,-2.68865585327148,-0.650197982788086,-2.71345138549805
-0.600275993347168,-2.09451675415039,-0.600275993347168,-2.19226837158203,-0.600275993347168,-2.23566055297852,-0.600275993347168,-2.26140975952148,-0.600275993347168,-1.78552150726318,-0.600275993347168,-1.92667007446289,-0.600275993347168,-2.0201301574707,-0.600275993347168,-2.07925796508789,-0.600275993347168,-1.84131145477295,-0.600275993347168,-1.95480346679688,-0.600275993347168,-2.01297760009766,-0.600275993347168,-2.04730987548828,-0.600275993347168,-1.48416042327881,-0.600275993347168,-1.59574031829834,-0.600275993347168,-1.64866924285889,-0.600275993347168,-1.67155742645264,-0.600275993347168,-1.22666835784912,-0.600275993347168,-1.33157253265381,-0.600275993347168,-1.39022350311279,-0.600275993347168,-1.42693996429443,-0.600275993347168,-0.474214553833008,-0.600275993347168,-0.554323196411133,-0.600275993347168,-0.622987747192383,-0.600275993347168,-0.630621910095215,-0.600275993347168,1.10602855682373,-0.600275993347168,1.12319469451904,-0.600275993347168,1.13416194915771,-0.600275993347168,1.15418910980225,-0.600275993347168,-2.04540252685547,-0.600275993347168,-2.1574592590332,-0.600275993347168,-2.21134185791016,-0.600275993347168,-2.24662780761719
-0.550275802612305,-1.63770198822021,-0.550275802612305,-1.73831462860107,-0.550275802612305,-1.78218364715576,-0.550275802612305,-1.80650234222412,-0.550275802612305,-1.05643749237061,-0.550275802612305,-1.2233304977417,-0.550275802612305,-1.33491039276123,-0.550275802612305,-1.40882015228271,-0.550275802612305,-1.22666835784912,-0.550275802612305,-1.35684490203857,-0.550275802612305,-1.42264842987061,-0.550275802612305,-1.46174907684326,-0.550275802612305,-0.726466178894043,-0.550275802612305,-0.844721794128418,-0.550275802612305,-0.90766429901123,-0.550275802612305,-0.937705039978027,-0.550275802612305,-0.379323959350586,-0.550275802612305,-0.504255294799805,-0.550275802612305,-0.570058822631836,-0.550275802612305,-0.613927841186523,-0.550275802612305,0.543832778930664,-0.550275802612305,0.451803207397461,-0.550275802612305,0.366449356079102,-0.550275802612305,0.36311149597168,-0.550275802612305,2.38300323486328,-0.550275802612305,2.38491058349609,-0.550275802612305,2.39397048950195,-0.550275802612305,2.4163818359375,-0.550275802612305,-1.54138088226318,-0.550275802612305,-1.67966365814209,-0.550275802612305,-1.74785137176514,-0.550275802612305,-1.79076671600342
