receptor_0_3mA_5min: CV i vs E Scan 2,,receptor_0_3mA_5min: CV i vs E Scan 3,,receptor_0_3mA_5min: CV i vs E Scan 4,,receptor_0_3mA_5min: CV i vs E Scan 5,,receptor_0_3mA_10min: CV i vs E Scan 2,,receptor_0_3mA_10min: CV i vs E Scan 3,,receptor_0_3mA_10min: CV i vs E Scan 4,,receptor_0_3mA_10min: CV i vs E Scan 5,,receptor_0_3mA_15min: CV i vs E Scan 2,,receptor_0_3mA_15min: CV i vs E Scan 3,,receptor_0_3mA_15min: CV i vs E Scan 4,,receptor_0_3mA_15min: CV i vs E Scan 5,,receptor_0_3mA_20min: CV i vs E Scan 2,,receptor_0_3mA_20min: CV i vs E Scan 3,,receptor_0_3mA_20min: CV i vs E Scan 4,,receptor_0_3mA_20min: CV i vs E Scan 5,,receptor_0_3mA_25min: CV i vs E Scan 2,,receptor_0_3mA_25min: CV i vs E Scan 3,,receptor_0_3mA_25min: CV i vs E Scan 4,,receptor_0_3mA_25min: CV i vs E Scan 5,,receptor_0_3mA_30min: CV i vs E Scan 2,,receptor_0_3mA_30min: CV i vs E Scan 3,,receptor_0_3mA_30min: CV i vs E Scan 4,,receptor_0_3mA_30min: CV i vs E Scan 5,,receptor_0mA_2min: CV i vs E Scan 2,,receptor_0mA_2min: CV i vs E Scan 3,,receptor_0mA_2min: CV i vs E Scan 4,,receptor_0mA_2min: CV i vs E Scan 5
Date and time measurement:,2025-07-01 17:32:40,Date and time measurement:,2025-07-01 17:32:40,Date and time measurement:,2025-07-01 17:32:40,Date and time measurement:,2025-07-01 17:32:40,Date and time measurement:,2025-07-01 17:36:44,Date and time measurement:,2025-07-01 17:36:44,Date and time measurement:,2025-07-01 17:36:44,Date and time measurement:,2025-07-01 17:36:44,Date and time measurement:,2025-07-01 17:41:05,Date and time measurement:,2025-07-01 17:41:05,Date and time measurement:,2025-07-01 17:41:05,Date and time measurement:,2025-07-01 17:41:05,Date and time measurement:,2025-07-01 17:45:04,Date and time measurement:,2025-07-01 17:45:04,Date and time measurement:,2025-07-01 17:45:04,Date and time measurement:,2025-07-01 17:45:04,Date and time measurement:,2025-07-01 17:49:10,Date and time measurement:,2025-07-01 17:49:10,Date and time measurement:,2025-07-01 17:49:10,Date and time measurement:,2025-07-01 17:49:10,Date and time measurement:,2025-07-01 17:53:15,Date and time measurement:,2025-07-01 17:53:15,Date and time measurement:,2025-07-01 17:53:15,Date and time measurement:,2025-07-01 17:53:15,Date and time measurement:,2025-07-01 17:28:35,Date and time measurement:,2025-07-01 17:28:35,Date and time measurement:,2025-07-01 17:28:35,Date and time measurement:,2025-07-01 17:28:35,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004291534424,-7.23722457885742,-1.00004291534424,-7.18000411987305,-1.00004291534424,-7.17046737670898,-1.00004291534424,-7.17666625976563,-1.00004291534424,-8.55282306671143,-1.00004291534424,-8.43599796295166,-1.00004291534424,-8.40548038482666,-1.00004291534424,-8.37877750396729,-1.00004291534424,-9.11215305328369,-1.00004291534424,-8.98340702056885,-1.00004291534424,-8.91378879547119,-1.00004291534424,-8.87754917144775,-1.00004291534424,-9.98858451843262,-1.00004291534424,-9.71774101257324,-1.00004291534424,-9.62332725524902,-1.00004291534424,-9.58136558532715,-1.00004291534424,-9.7716236114502,-1.00004291534424,-9.60186958312988,-1.00004291534424,-9.46978569030762,-1.00004291534424,-9.40398216247559,-1.00004291534424,-10.4110622406006,-1.00004291534424,-10.2050685882568,-1.00004291534424,-10.1135158538818,-1.00004291534424,-10.0372219085693,-1.00004291534424,-6.39989376068115,-1.00004291534424,-6.33838176727295,-1.00004291534424,-6.30548000335693,-1.00004291534424,-6.30548000335693
-0.950042724609375,-6.33838176727295,-0.950042724609375,-6.315016746521,-0.950042724609375,-6.31930828094482,-0.950042724609375,-6.32979869842529,-0.950042724609375,-7.36263275146484,-0.950042724609375,-7.294921875,-0.950042724609375,-7.28586196899414,-0.950042724609375,-7.26774215698242,-0.950042724609375,-7.76269912719727,-0.950042724609375,-7.70166397094727,-0.950042724609375,-7.65779495239258,-0.950042724609375,-7.63395309448242,-0.950042724609375,-8.39785099029541,-0.950042724609375,-8.25050830841064,-0.950042724609375,-8.20234775543213,-0.950042724609375,-8.17659854888916,-0.950042724609375,-8.29103946685791,-0.950042724609375,-8.21140766143799,-0.950042724609375,-8.13177585601807,-0.950042724609375,-8.09314727783203,-0.950042724609375,-8.79791736602783,-0.950042724609375,-8.68061542510986,-0.950042724609375,-8.62911701202393,-0.950042724609375,-8.58095645904541,-0.950042724609375,-5.63790798187256,-0.950042724609375,-5.61406135559082,-0.950042724609375,-5.60595512390137,-0.950042724609375,-5.61358451843262
-0.900042533874512,-5.53061485290527,-0.900042533874512,-5.5344295501709,-0.900042533874512,-5.54873466491699,-0.900042533874512,-5.56208610534668,-0.900042533874512,-6.29737377166748,-0.900042533874512,-6.26351833343506,-0.900042533874512,-6.26780986785889,-0.900042533874512,-6.253981590271,-0.900042533874512,-6.55152797698975,-0.900042533874512,-6.53722286224365,-0.900042533874512,-6.51004314422607,-0.900042533874512,-6.4985990524292,-0.900042533874512,-6.97544097900391,-0.900042533874512,-6.9139289855957,-0.900042533874512,-6.89580917358398,-0.900042533874512,-6.8834114074707,-0.900042533874512,-6.94921493530273,-0.900042533874512,-6.93490982055664,-0.900042533874512,-6.89199447631836,-0.900042533874512,-6.87482833862305,-0.900042533874512,-7.33592987060547,-0.900042533874512,-7.28157043457031,-0.900042533874512,-7.25772857666016,-0.900042533874512,-7.22959518432617,-0.900042533874512,-4.95078086853027,-0.900042533874512,-4.95793342590332,-0.900042533874512,-4.96890068054199,-0.900042533874512,-4.97939109802246
-0.850120544433594,-4.78388786315918,-0.850120544433594,-4.80916023254395,-0.850120544433594,-4.82775688171387,-0.850120544433594,-4.84206199645996,-0.850120544433594,-5.30888557434082,-0.850120544433594,-5.29696464538574,-0.850120544433594,-5.30745506286621,-0.850120544433594,-5.29648780822754,-0.850120544433594,-5.43477058410645,-0.850120544433594,-5.44192314147949,-0.850120544433594,-5.43000221252441,-0.850120544433594,-5.4271411895752,-0.850120544433594,-5.67176342010498,-0.850120544433594,-5.66031932830811,-0.850120544433594,-5.66079616546631,-0.850120544433594,-5.66270351409912,-0.850120544433594,-5.69512844085693,-0.850120544433594,-5.72421550750732,-0.850120544433594,-5.70847988128662,-0.850120544433594,-5.70704936981201,-0.850120544433594,-5.97264766693115,-0.850120544433594,-5.96168041229248,-0.850120544433594,-5.95500469207764,-0.850120544433594,-5.94165325164795,-0.850120544433594,-4.32087421417236,-0.850120544433594,-4.35186862945557,-0.850120544433594,-4.37714576721191,-0.850120544433594,-4.38715934753418
-0.80012035369873,-4.08150196075439,-0.80012035369873,-4.12012577056885,-0.80012035369873,-4.14110660552979,-0.80012035369873,-4.15541172027588,-0.80012035369873,-4.38382148742676,-0.80012035369873,-4.37952995300293,-0.80012035369873,-4.39478874206543,-0.80012035369873,-4.38429832458496,-0.80012035369873,-4.39288139343262,-0.80012035369873,-4.41147804260254,-0.80012035369873,-4.40670967102051,-0.80012035369873,-4.40670967102051,-0.80012035369873,-4.46393013000488,-0.80012035369873,-4.4825267791748,-0.80012035369873,-4.49540138244629,-0.80012035369873,-4.50016975402832,-0.80012035369873,-4.52019691467285,-0.80012035369873,-4.5731258392334,-0.80012035369873,-4.57694053649902,-0.80012035369873,-4.58695411682129,-0.80012035369873,-4.69901084899902,-0.80012035369873,-4.71236228942871,-0.80012035369873,-4.71665382385254,-0.80012035369873,-4.71188545227051,-0.80012035369873,-3.73007297515869,-0.80012035369873,-3.78109455108643,-0.80012035369873,-3.81256580352783,-0.80012035369873,-3.8225793838501
-0.750198364257813,-3.41536045074463,-0.750198364257813,-3.46161365509033,-0.750198364257813,-3.48116397857666,-0.750198364257813,-3.49356174468994,-0.750198364257813,-3.51168155670166,-0.750198364257813,-3.50882053375244,-0.750198364257813,-3.52026462554932,-0.750198364257813,-3.51120471954346,-0.750198364257813,-3.41249942779541,-0.750198364257813,-3.43157291412354,-0.750198364257813,-3.43204975128174,-0.750198364257813,-3.43204975128174,-0.750198364257813,-3.33382129669189,-0.750198364257813,-3.3657693862915,-0.750198364257813,-3.38531970977783,-0.750198364257813,-3.39294910430908,-0.750198364257813,-3.41583728790283,-0.750198364257813,-3.47830295562744,-0.750198364257813,-3.49451541900635,-0.750198364257813,-3.51215839385986,-0.750198364257813,-3.5021448135376,-0.750198364257813,-3.52741718292236,-0.750198364257813,-3.53600025177002,-0.750198364257813,-3.53790760040283,-0.750198364257813,-3.16978931427002,-0.750198364257813,-3.23559284210205,-0.750198364257813,-3.27183246612549,-0.750198364257813,-3.27660083770752
-0.700198173522949,-2.78354644775391,-0.700198173522949,-2.83027648925781,-0.700198173522949,-2.84648895263672,-0.700198173522949,-2.85411834716797,-0.700198173522949,-2.68579483032227,-0.700198173522949,-2.67768859863281,-0.700198173522949,-2.68198013305664,-0.700198173522949,-2.67148971557617,-0.700198173522949,-2.48266220092773,-0.700198173522949,-2.49553680419922,-0.700198173522949,-2.49553680419922,-0.700198173522949,-2.49601364135742,-0.700198173522949,-2.26760864257813,-0.700198173522949,-2.30384826660156,-0.700198173522949,-2.3248291015625,-0.700198173522949,-2.33627319335938,-0.700198173522949,-2.37298965454102,-0.700198173522949,-2.43736267089844,-0.700198173522949,-2.46072769165039,-0.700198173522949,-2.48361587524414,-0.700198173522949,-2.37155914306641,-0.700198173522949,-2.40255355834961,-0.700198173522949,-2.41304397583008,-0.700198173522949,-2.41924285888672,-0.700198173522949,-2.63668060302734,-0.700198173522949,-2.71249771118164,-0.700198173522949,-2.75064468383789,-0.700198173522949,-2.75016784667969
-0.650197982788086,-2.18082427978516,-0.650197982788086,-2.22373962402344,-0.650197982788086,-2.23423004150391,-0.650197982788086,-2.23613739013672,-0.650197982788086,-1.89519882202148,-0.650197982788086,-1.88137054443359,-0.650197982788086,-1.87182903289795,-0.650197982788086,-1.85943126678467,-0.650197982788086,-1.59192562103271,-0.650197982788086,-1.59478664398193,-0.650197982788086,-1.59287929534912,-0.650197982788086,-1.59144878387451,-0.650197982788086,-1.25051021575928,-0.650197982788086,-1.28913402557373,-0.650197982788086,-1.31392955780029,-0.650197982788086,-1.32012844085693,-0.650197982788086,-1.38259410858154,-0.650197982788086,-1.44458293914795,-0.650197982788086,-1.47271633148193,-0.650197982788086,-1.4984655380249,-0.650197982788086,-1.29628658294678,-0.650197982788086,-1.3301420211792,-0.650197982788086,-1.34253978729248,-0.650197982788086,-1.35255336761475,-0.650197982788086,-2.13075637817383,-0.650197982788086,-2.21324920654297,-0.650197982788086,-2.24996566772461,-0.650197982788086,-2.24567413330078
-0.600275993347168,-1.60050868988037,-0.600275993347168,-1.6357946395874,-0.600275993347168,-1.63960933685303,-0.600275993347168,-1.63436412811279,-0.600275993347168,-1.12987041473389,-0.600275993347168,-1.10507488250732,-0.600275993347168,-1.0860013961792,-0.600275993347168,-1.06883525848389,-0.600275993347168,-0.731711387634277,-0.600275993347168,-0.72455883026123,-0.600275993347168,-0.719313621520996,-0.600275993347168,-0.714545249938965,-0.600275993347168,-0.276803970336914,-0.600275993347168,-0.316858291625977,-0.600275993347168,-0.343084335327148,-0.600275993347168,-0.350236892700195,-0.600275993347168,-0.437021255493164,-0.600275993347168,-0.497102737426758,-0.600275993347168,-0.52952766418457,-0.600275993347168,-0.556707382202148,-0.600275993347168,-0.269651412963867,-0.600275993347168,-0.30827522277832,-0.600275993347168,-0.323057174682617,-0.600275993347168,-0.336408615112305,-0.600275993347168,-1.6500997543335,-0.600275993347168,-1.73545360565186,-0.600275993347168,-1.76930904388428,-0.600275993347168,-1.7578649520874
-0.550275802612305,-1.03879451751709,-0.550275802612305,-1.06454372406006,-0.550275802612305,-1.06120586395264,-0.550275802612305,-1.04880809783936,-0.550275802612305,-0.383615493774414,-0.550275802612305,-0.351190567016602,-0.550275802612305,-0.322103500366211,-0.550275802612305,-0.298261642456055,-0.550275802612305,0.0994205474853516,-0.550275802612305,0.115156173706055,-0.550275802612305,0.124216079711914,-0.550275802612305,0.132322311401367,-0.550275802612305,0.653033256530762,-0.550275802612305,0.609159469604492,-0.550275802612305,0.581979751586914,-0.550275802612305,0.577211380004883,-0.550275802612305,0.462770462036133,-0.550275802612305,0.402212142944336,-0.550275802612305,0.365972518920898,-0.550275802612305,0.337362289428711,-0.550275802612305,0.705962181091309,-0.550275802612305,0.659232139587402,-0.550275802612305,0.641589164733887,-0.550275802612305,0.624895095825195,-0.550275802612305,-1.1928129196167,-0.550275802612305,-1.27864360809326,-0.550275802612305,-1.30630016326904,-0.550275802612305,-1.28770351409912
